Frente;Verso
O que é o <b>fatorial</b> de um número natural?;É o produto desse número por todos os naturais positivos menores que ele até chegar a <font color="#ffeb3b">1</font>. Em símbolos, <b>n!</b> significa n vezes n menos 1 vezes n menos 2 até 1.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> Fatorial é uma <b>escadinha descendo</b>. Começa no número e vai multiplicando até 1.
Como se lê a notação <b>n!</b>?;Lê-se <b>n fatorial</b>. Essa notação indica o produto de n por todos os inteiros positivos anteriores até 1.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> O ponto de exclamação parece um comando de força. Em combinatória, ele manda multiplicar em queda.
Quanto vale <b>5!</b>?;<b>5! = 5 x 4 x 3 x 2 x 1 = 120</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> 5! é 5 descendo a escada: 5, 4, 3, 2, 1.
Quanto vale <b>4!</b>?;<b>4! = 4 x 3 x 2 x 1 = 24</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> Grave a sequência básica: 3! = 6, 4! = 24, 5! = 120, 6! = 720.
Quanto vale <b>3!</b>?;<b>3! = 3 x 2 x 1 = 6</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> 3! aparece muito dentro de combinações. Viu 3!, pense rápido em 6.
Quanto vale <b>2!</b>?;<b>2! = 2 x 1 = 2</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> 2! não muda o 2. Mas em denominador de combinação, ele costuma cortar pela metade.
Quanto vale <b>1!</b>?;<b>1! = 1</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> O fatorial de 1 é ele mesmo. Não há escada para descer.
Quanto vale <b>0!</b>?;<b>0! = 1</b>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> Esse é ponto clássico de prova: <font color="#ff4444">0! não é zero</font>. É 1.
Por que <b>0!</b> deve ser memorizado com cuidado?;Porque é uma pegadinha comum. O aluno vê zero e pensa em resultado zero, mas em combinatória vale <font color="#ffeb3b">0! = 1</font>.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> Regra de sobrevivência: apareceu 0!, responda 1 sem negociar.
Como transformar <b>6!</b> para facilitar simplificação com <b>4!</b>?;Escreva <b>6! = 6 x 5 x 4!</b>. Assim, o 4! pode ser cancelado se aparecer no denominador.<br><br><i>Fonte: Aula Bônus 9 – Fatorial</i><hr><b>BIZU:</b> Pare a escada no ponto que você quer cancelar.
