Frente;Verso
Segundo o art. 144 da CF/88, por quais órgãos a segurança pública é exercida?;A segurança pública é exercida por: <br>• <b>Polícia Federal</b><br>• <b>Polícia Rodoviária Federal</b><br>• <b>Polícia Ferroviária Federal</b><br>• <b>Polícias Civis</b><br>• <b>Polícias Militares e Corpos de Bombeiros Militares</b><br>• <b>Polícias Penais federal, estaduais e distrital</b><br><br><i>Fonte: Art. 144, I a VI, CF/88</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">Fe-Ro-Fe-Ci-Mi-Pe</font> = Federal, Rodoviária, Ferroviária, Civis, Militares/Bombeiros, Penais.
Qual é o primeiro órgão listado no art. 144 da CF/88?;O primeiro órgão listado é a <b>Polícia Federal</b>.<br><br><i>Fonte: Art. 144, I, CF/88</i><hr><b>BIZU:</b> Comece pelo topo federal: PF abre o rol.
Qual é o segundo órgão listado no art. 144 da CF/88?;O segundo órgão listado é a <b>Polícia Rodoviária Federal</b>.<br><br><i>Fonte: Art. 144, II, CF/88</i><hr><b>BIZU:</b> Depois da PF vem a PRF: rodovia federal, patrulhamento ostensivo.
Qual é o terceiro órgão listado no art. 144 da CF/88?;O terceiro órgão listado é a <b>Polícia Ferroviária Federal</b>.<br><br><i>Fonte: Art. 144, III, CF/88</i><hr><b>BIZU:</b> Rodovia e ferrovia aparecem juntas na lógica federal de patrulhamento.
Qual é o quarto órgão listado no art. 144 da CF/88?;O quarto órgão listado são as <b>Polícias Civis</b>.<br><br><i>Fonte: Art. 144, IV, CF/88</i><hr><b>BIZU:</b> Polícia Civil entra como polícia judiciária estadual, ressalvada a competência da União.
Qual é o quinto grupo listado no art. 144 da CF/88?;O quinto grupo é formado pelas <b>Polícias Militares</b> e pelos <b>Corpos de Bombeiros Militares</b>.<br><br><i>Fonte: Art. 144, V, CF/88</i><hr><b>BIZU:</b> PM e Bombeiros Militares aparecem juntos no inciso V.
Qual é o sexto grupo listado no art. 144 da CF/88?;O sexto grupo é formado pelas <b>Polícias Penais federal, estaduais e distrital</b>.<br><br><i>Fonte: Art. 144, VI, CF/88</i><hr><b>BIZU:</b> Polícia Penal é a novidade constitucional da EC 104/2019.
Qual emenda constitucional incluiu as Polícias Penais no rol do art. 144?;A <font color="#ffeb3b">EC nº 104/2019</font> incluiu as <b>Polícias Penais federal, estaduais e distrital</b> no rol de órgãos de segurança pública.<br><br><i>Fonte: EC nº 104/2019 e art. 144, VI, CF/88</i><hr><b>BIZU:</b> 104/2019 = agentes penitenciários ganharam status constitucional de carreira policial.
Quais órgãos de segurança pública são federais no art. 144?;São federais: <br>• <b>Polícia Federal</b><br>• <b>Polícia Rodoviária Federal</b><br>• <b>Polícia Ferroviária Federal</b><br>• <b>Polícia Penal Federal</b><br><br><i>Fonte: Art. 144, I, II, III e VI, CF/88</i><hr><b>BIZU:</b> Federal no nome geralmente denuncia a manutenção pela União.
Quais órgãos de segurança pública aparecem no âmbito estadual?;No âmbito estadual aparecem principalmente: <br>• <b>Polícias Civis</b><br>• <b>Polícias Militares</b><br>• <b>Corpos de Bombeiros Militares</b><br>• <b>Polícias Penais Estaduais</b><br><br><i>Fonte: Art. 144, IV, V e VI, CF/88</i><hr><b>BIZU:</b> Estados têm investigação, ostensividade, bombeiros e polícia penal.
