Frente;Verso
<b>ULTRA 01</b><br>Qual é o mapa-mãe das espécies de ação penal?;<b>Ação penal</b> divide-se em <b>pública</b> e <b>privada</b>.<br><br>A pública pode ser <b>incondicionada</b> ou <b>condicionada</b>.<br><br>A condicionada pode depender de <b>representação do ofendido</b> ou <b>requisição do Ministro da Justiça</b>.<br><br>A privada pode ser <b>exclusiva</b>, <b>personalíssima</b> ou <b>subsidiária da pública</b>.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Pública pergunta “MP precisa de chave?”. Privada pergunta “qual tipo de queixa?”.<br><br>#BLOCO12 #Ultradecoreba #Mapa
<b>ULTRA 02</b><br>Se a lei nada disser sobre a espécie de ação penal, qual é a regra?;<b>Ação penal pública incondicionada</b>.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Silêncio da lei = MP denuncia sem representação.<br><br>#BLOCO12 #RegraGeral #AçãoPública
<b>ULTRA 03</b><br>Quem é o titular da ação penal pública?;<b>Ministério Público</b>, de forma privativa, conforme art. 129, I da CF.<br><br><i>Fonte: Art. 129, I da CF</i><hr><b>BIZU:</b> Pública = MP. Nunca diga que a vítima é titular da ação pública.<br><br>#BLOCO12 #MP #Titularidade
<b>ULTRA 04</b><br>Na ação pública condicionada, a vítima vira titular da ação?;<font color="#ff4444">Não.</font> A ação continua pública e o titular continua sendo o MP. A vítima apenas fornece a condição de procedibilidade por meio da representação.<br><br><i>Fonte: Art. 24 do CPP</i><hr><b>BIZU:</b> Vítima autoriza. MP denuncia.<br><br>#BLOCO12 #Representação #Pegadinha
<b>ULTRA 05</b><br>Qual é o prazo para representação do ofendido?;<font color="#ffeb3b">6 meses</font>, contados da ciência da autoria.<br><br><i>Fonte: Art. 38 do CPP</i><hr><b>BIZU:</b> Não é da data do fato. É da ciência de quem foi o autor.<br><br>#BLOCO12 #Prazo #Representação
<b>ULTRA 06</b><br>Qual é o marco da irretratabilidade da representação no CPP?;A representação é irretratável depois de <b>oferecida</b> a denúncia.<br><br><i>Fonte: Art. 25 do CPP</i><hr><b>BIZU:</b> Ofereceu, travou. Não é recebimento da denúncia.<br><br>#BLOCO12 #Retratação #Art25
<b>ULTRA 07</b><br>Qual é o marco especial da retratação na Lei Maria da Penha?;Nos crimes condicionados, a retratação exige audiência perante o juiz, ouvido o MP, antes do <b>recebimento</b> da denúncia.<br><br><i>Fonte: Art. 16 da Lei 11.340 de 2006</i><hr><b>BIZU:</b> Regra comum = oferecimento. Maria da Penha = audiência antes do recebimento.<br><br>#BLOCO12 #MariaDaPenha #Retratação
<b>ULTRA 08</b><br>Para que serve a audiência do art. 16 da Lei Maria da Penha segundo o STJ?;Serve para confirmar a <b>retratação</b>, não para confirmar a representação.<br><br><i>Fonte: STJ, Tema 1167</i><hr><b>BIZU:</b> Sem pedido de retratação, não tem audiência obrigatória.<br><br>#BLOCO12 #Tema1167 #STJ
<b>ULTRA 09</b><br>O crime de ameaça exige representação?;Em regra, sim. Mas a ameaça contra mulher por razões da condição do sexo feminino é de ação pública incondicionada.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Ameaça comum precisa de representação. Ameaça por razão do sexo feminino não precisa.<br><br>#BLOCO12 #Ameaça #Pegadinha
<b>ULTRA 10</b><br>Qual é a lógica da requisição do Ministro da Justiça?;É condição de procedibilidade rara, ligada a juízo político de conveniência, sem prazo decadencial próprio e sem vincular automaticamente o MP à denúncia.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Requisição autoriza. Não obriga o MP a denunciar.<br><br>#BLOCO12 #RequisiçãoMJ #Mapa
<b>ULTRA 11</b><br>A requisição do Ministro da Justiça tem prazo decadencial de 6 meses?;<font color="#ff4444">Não.</font> Ela pode ser oferecida enquanto não estiver extinta a punibilidade.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Representação tem relógio. Requisição tem limite pela punibilidade.<br><br>#BLOCO12 #RequisiçãoMJ #Prazo
<b>ULTRA 12</b><br>A requisição do Ministro da Justiça obriga o MP a denunciar?;<font color="#ff4444">Não.</font> O MP deve analisar se há justa causa, materialidade e indícios de autoria.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> Requisição sem justa causa não vira denúncia válida.<br><br>#BLOCO12 #MP #RequisiçãoMJ
<b>ULTRA 13</b><br>Qual é a peça inicial da ação penal privada?;<b>Queixa-crime</b>.<br><br><i>Fonte: Revisão integrativa, Aula 01</i><hr><b>BIZU:</b> MP oferece denúncia. Ofendido oferece queixa.<br><br>#BLOCO12 #QueixaCrime #AçãoPrivada
