Frente;Verso
O que é o <b>Princípio da Casa dos Pombos</b>?;É uma ideia de garantia: se há mais objetos do que lugares disponíveis, então algum lugar obrigatoriamente receberá mais de um objeto.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Mais pombos do que casas força repetição.
Qual é a ideia central da <b>Casa dos Pombos</b>?;A ideia central é provar que algo vai acontecer com certeza, mesmo sem saber exatamente onde acontecerá.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Não preciso saber qual casa lotou, só preciso saber que alguma lotou.
O que são os <b>pombos</b> nesse princípio?;São os objetos, pessoas, números, itens ou elementos que serão distribuídos entre categorias.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Pombo é aquilo que você está colocando.
O que são as <b>casas</b> nesse princípio?;São as categorias, gavetas, meses, dias, restos, cores, caixas ou lugares possíveis onde os objetos podem cair.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Casa é onde o pombo pode parar.
Qual é a forma mais simples da <b>Casa dos Pombos</b>?;Se existem n casas e n + 1 pombos, então pelo menos uma casa terá no mínimo 2 pombos.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Uma unidade a mais que as casas já força dupla.
Se há <b>12 meses</b>, quantas pessoas são necessárias para garantir que pelo menos 2 nasceram no mesmo mês?;<b>13 pessoas</b>. Com 12 pessoas, seria possível colocar uma em cada mês. A 13ª pessoa força repetição em algum mês.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> 12 casas, 13 pombos, nasce uma dupla.
Por que <b>13 pessoas</b> garantem duas no mesmo mês?;Porque existem apenas 12 meses. No pior caso, 12 pessoas ocupam meses diferentes. A próxima pessoa obrigatoriamente repete algum mês.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Pior caso antes da garantia: distribua sem repetir o máximo possível.
O que significa <b>mínimo para garantir</b>?;Significa a menor quantidade necessária para que determinado resultado seja inevitável, não apenas provável.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Garantir é mais forte que ter chance.
Qual é a diferença entre <b>probabilidade</b> e <b>Casa dos Pombos</b>?;Probabilidade mede chance. Casa dos Pombos prova certeza. Ela não pergunta se é provável, pergunta quando se torna inevitável.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Probabilidade fala “pode acontecer”. Pombos fala “vai acontecer”.
Qual é a fórmula geral para garantir pelo menos <b>k elementos na mesma casa</b>?;<b>mínimo = número de casas × (k - 1) + 1</b>.<br><br><i>Fonte: Complemento didático autoral – Casa dos Pombos</i><hr><b>BIZU:</b> Encha todas as casas com k - 1. O próximo força k.
