Frente;Verso
O que é <b>lógica de argumentação</b> em provas de múltipla escolha?;É o estudo de como identificar a conclusão correta a partir de premissas apresentadas no enunciado.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> A questão conta uma história e você precisa achar a consequência obrigatória.
Qual é o objetivo principal do material de <b>lógica de argumentação</b>?;Analisar quais conclusões apresentadas nas alternativas são corretas a partir da história apresentada no enunciado.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Não é para escolher a alternativa bonita. É para escolher a conclusão forçada.
O que é um <b>argumento</b>?;Argumento é um conjunto de premissas que gera uma conclusão.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Argumento é premissa mais conclusão.
O que são <b>premissas</b>?;São frases consideradas verdadeiras dentro do enunciado e usadas como base para chegar à conclusão.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Premissa é ponto de partida obrigatório.
O que é <b>conclusão</b>?;É a afirmação que decorre das premissas, isto é, aquilo que deve ser inferido a partir das informações dadas.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Conclusão é o ponto de chegada lógico.
O que significa a palavra <b>logo</b> em lógica de argumentação?;Indica que depois dela vem a conclusão do argumento.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Viu “logo”, procure a conclusão.
O que significa <b>portanto</b> em lógica de argumentação?;Indica a conclusão que se pretende extrair das premissas.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Portanto é seta textual para a conclusão.
O que é um <b>argumento válido</b>?;É um argumento em que as premissas verdadeiras geram uma conclusão verdadeira.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Válido é quando a conclusão é obrigatória.
O que é um <b>argumento inválido</b>?;É um argumento em que as premissas podem gerar uma conclusão falsa ou ambígua.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Inválido é quando a conclusão não fica garantida.
O que é uma conclusão <b>ambígua</b> no material?;É uma conclusão que pode ser verdadeira ou falsa ao mesmo tempo, isto é, não é forçada pelas premissas.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> Pode ser não basta. Tem que ser necessário.
Em lógica de argumentação, as premissas do enunciado devem ser tratadas como quê?;Como verdadeiras.<br><br><i>Fonte: Lógica de Argumentação para provas de múltipla escolha</i><hr><b>BIZU:</b> A regra do jogo é aceitar as premissas.
Qual é a primeira atitude ao resolver uma questão de argumentação?;Separar as premissas e identificar a conclusão pedida ou as alternativas candidatas à conclusão.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Primeiro organize o texto. Depois raciocine.
Qual é a segunda atitude ao resolver uma questão de argumentação?;Traduzir as premissas para uma linguagem lógica simples, usando letras e conectivos quando necessário.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Letra simplifica frase longa.
