Frente;Verso
O que é <b>mediana</b>?;Mediana é o valor que ocupa a posição central em um rol.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Mediana é o valor do meio depois que os dados estão organizados.
O que é <b>rol</b>?;Rol é a lista de dados organizada em ordem crescente ou decrescente.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Sem rol, mediana vira chute.
Por que a mediana depende do <b>rol</b>?;Porque a mediana é determinada pela posição central dos dados ordenados. Se os dados estiverem fora de ordem, o centro pode ser identificado errado.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Primeiro organize, depois procure o meio.
Qual é a função da <b>mediana</b> em uma distribuição?;A mediana separa o conjunto ordenado em duas partes com a mesma quantidade de elementos.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Mediana é o divisor central da série.
Como calcular a mediana quando o número de elementos é <b>ímpar</b>?;Ordene os dados em rol e escolha o elemento central.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Ímpar tem um único elemento no meio.
Qual é a posição da mediana quando há <b>n ímpar</b> elementos?;A posição é <b>(n + 1) / 2</b>.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Ímpar tem cadeira central exata.
Se uma distribuição tem <b>5 elementos</b>, qual é a posição da mediana?;<b>3ª posição</b>. Cálculo: (5 + 1) / 2 = 3.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Com 5 dados, o terceiro fica no meio.
Se uma distribuição tem <b>11 elementos</b>, qual é a posição da mediana?;<b>6ª posição</b>. Cálculo: (11 + 1) / 2 = 6.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Onze dados deixam cinco antes, cinco depois e um no centro.
Se uma distribuição tem <b>33 elementos</b>, qual é a posição da mediana?;<b>17ª posição</b>. Cálculo: (33 + 1) / 2 = 17.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Em n ímpar, some 1 e divida por 2.
Como calcular a mediana quando o número de elementos é <b>par</b>?;Ordene os dados em rol, localize os dois elementos centrais e calcule a média aritmética desses dois valores.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Par não tem um meio só. Pegue os dois do centro.
Quais são as posições centrais quando há <b>n par</b> elementos?;As posições centrais são <b>n / 2</b> e <b>n / 2 + 1</b>.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Par tem duas cadeiras centrais.
Se uma distribuição tem <b>6 elementos</b>, quais são as posições centrais?;<b>3ª e 4ª posições</b>. Cálculo: 6 / 2 = 3 e 3 + 1 = 4.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Com 6 dados, a mediana é a média do 3º e do 4º.
Se uma distribuição tem <b>12 elementos</b>, quais são as posições centrais?;<b>6ª e 7ª posições</b>. Cálculo: 12 / 2 = 6 e 6 + 1 = 7.<br><br><i>Fonte: Medidas de Posição – Mediana e Moda</i><hr><b>BIZU:</b> Par sempre pede dois valores centrais.
