Quais são os <b>princípios explícitos</b> da Administração Pública no art. 37 da CF/88?;São <font color="#00e676">legalidade</font>, <font color="#00e676">impessoalidade</font>, <font color="#00e676">moralidade</font>, <font color="#00e676">publicidade</font> e <font color="#00e676">eficiência</font>.<br><br><i>Fonte: Art. 37, caput, CF/88</i><hr><b>BIZU:</b> Mnemônico clássico: <font color="#ffeb3b">LIMPE</font>. Legalidade, Impessoalidade, Moralidade, Publicidade, Eficiência.
A quem se aplicam os princípios explícitos da Administração Pública?;Aplicam-se à Administração Pública <font color="#00e676">direta e indireta</font>, de qualquer dos Poderes, Executivo, Legislativo e Judiciário, e de todas as esferas federativas, União, Estados, Distrito Federal e Municípios.<br><br><i>Fonte: Art. 37, caput, CF/88</i><hr><b>BIZU:</b> LIMPE não é só para Executivo. É para todo mundo que administra coisa pública.
Por que o art. 37 da CF/88 é tão cobrado em provas?;Porque ele concentra princípios que funcionam como base de validade da atuação administrativa. Se a Administração viola legalidade, impessoalidade, moralidade, publicidade ou eficiência, o ato pode ser controlado e, conforme o caso, invalidado.<br><br><i>Fonte: Art. 37, caput, CF/88</i><hr><b>BIZU:</b> Art. 37 é a porta de entrada da Administração Pública na Constituição.
O que significa o <b>princípio da legalidade</b> para a Administração Pública?;Significa que a Administração Pública só pode agir conforme previsão em normas jurídicas. Ela deve atuar <font color="#00e676">segundo a lei</font>, nunca contra a lei nem além da lei com base apenas em costumes.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Administração não tem vontade livre. Administração tem vontade legal.
Quando o material fala em <b>lei</b> no princípio da legalidade, está falando apenas de lei formal?;Não. No princípio da legalidade administrativa, a expressão lei deve ser entendida em sentido amplo, abrangendo normas em geral, inclusive atos infralegais, como decretos, portarias e instruções normativas.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Legalidade administrativa olha para o bloco normativo, não só para a lei aprovada pelo Legislativo.
Qual é a diferença entre a legalidade para a <b>Administração Pública</b> e para os <b>particulares</b>?;A Administração Pública só pode fazer o que a norma autoriza ou determina. O particular pode fazer tudo aquilo que a lei não proíbe.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Particular vive na liberdade. Administração vive na autorização.
O que significa dizer que a Administração deve agir <b>secundum legem</b>?;Significa que a Administração deve agir <font color="#00e676">segundo a lei</font>, isto é, em conformidade com as normas jurídicas aplicáveis.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Secundum = seguindo. Administração segue a lei.
Por que a Administração não pode agir <b>contra legem</b> ou <b>praeter legem</b>?;Porque o princípio da legalidade impede que a Administração atue contra a lei ou além da lei com base apenas em costumes ou vontade administrativa. Sua atuação depende de fundamento normativo.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Contra legem = proibido. Praeter legem = além da lei. Administração não inventa poder.
A existência de <b>discricionariedade administrativa</b> viola o princípio da legalidade?;Não. A discricionariedade existe quando a própria norma deixa certa margem de escolha ao administrador. Mesmo nesses casos, a escolha continua limitada pela lei e pelos princípios administrativos.<br><br><i>Fonte: Princípio da legalidade</i><hr><b>BIZU:</b> Discricionariedade não é liberdade total. É liberdade dentro da moldura legal.
O que é o <b>princípio da impessoalidade</b>?;É o princípio que exige atuação administrativa voltada ao interesse público, sem favoritismo, perseguição ou promoção pessoal. Ele também se relaciona à finalidade, à isonomia e à imputação dos atos ao órgão ou entidade.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Impessoalidade = não é sobre a pessoa do agente, é sobre o interesse público.
Quais são as quatro acepções do princípio da <b>impessoalidade</b>?;As quatro acepções são: <font color="#00e676">finalidade</font>, <font color="#00e676">vedação à promoção pessoal</font>, <font color="#00e676">isonomia</font> e <font color="#00e676">imputação do ato ao órgão ou entidade</font>.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">FI VI</font>. Finalidade, Isonomia, Vedação à promoção pessoal, Imputação ao órgão.
Como a impessoalidade se relaciona com a <b>finalidade pública</b>?;Na acepção de finalidade, a impessoalidade exige que todo ato administrativo busque a satisfação do interesse público. Se o ato busca finalidade diversa, ocorre desvio de finalidade e o ato é nulo.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Ato público com objetivo privado é ato doente. O nome da doença é desvio de finalidade.
Qual é a diferença entre <b>finalidade em sentido amplo</b> e <b>finalidade em sentido estrito</b>?;Em sentido amplo, a finalidade é atender ao interesse público. Em sentido estrito, é cumprir a finalidade específica prevista em lei para determinado ato administrativo.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Ampla = interesse público geral. Estrita = fim legal específico do ato.
Por que Hely Lopes Meirelles relaciona impessoalidade com finalidade?;Porque, segundo Hely Lopes Meirelles, a impessoalidade corresponde ao clássico princípio da finalidade, impondo ao administrador que pratique o ato apenas para o seu fim legal.<br><br><i>Fonte: Hely Lopes Meirelles, Direito Administrativo Brasileiro</i><hr><b>BIZU:</b> Para Hely: impessoalidade é finalidade com roupa constitucional.
O que significa <b>vedação à promoção pessoal</b> no princípio da impessoalidade?;Significa que agentes públicos não podem usar atos, programas, obras, serviços ou campanhas públicas para autopromoção. A publicidade oficial deve ter caráter educativo, informativo ou de orientação social.<br><br><i>Fonte: Art. 37, § 1º, CF/88</i><hr><b>BIZU:</b> Obra pública não é outdoor de político.
O que o art. 37, § 1º, da CF/88 proíbe na publicidade oficial?;Proíbe que a publicidade de atos, programas, obras, serviços e campanhas dos órgãos públicos contenha nomes, símbolos ou imagens que caracterizem promoção pessoal de autoridades ou servidores públicos.<br><br><i>Fonte: Art. 37, § 1º, CF/88</i><hr><b>BIZU:</b> Publicidade oficial pode informar. Não pode endeusar agente público.
Como a impessoalidade se relaciona com a <b>isonomia</b>?;A impessoalidade exige tratamento igualitário aos administrados, sem favoritismos ou perseguições. Exemplos são a exigência de concurso público e a ordem cronológica de pagamento dos precatórios.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Se todos disputam igualmente, há impessoalidade. Concurso público é impessoalidade em ação.
Como a impessoalidade explica a <b>imputação dos atos ao órgão ou entidade</b>?;Os atos praticados pelo agente público, nessa qualidade, são imputados ao órgão ou entidade em nome do qual ele atua, e não pessoalmente ao agente como vontade privada dele.<br><br><i>Fonte: Art. 37, § 6º, CF/88</i><hr><b>BIZU:</b> O agente assina, mas quem age juridicamente é o Estado.
O que é o <b>agente de fato</b> ou agente putativo?;É a pessoa que ingressa ou atua na Administração de forma irregular, mas aparenta ser agente público legítimo. Pela teoria da aparência, seus atos podem ser mantidos quando atingem terceiros de boa-fé.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> Agente de fato parece servidor de direito. Para proteger o terceiro de boa-fé, o ato pode ser preservado.
Qual princípio justifica a validade de atos praticados por <b>agente de fato</b> perante terceiros de boa-fé?;O princípio da <font color="#00e676">impessoalidade</font>, em conjunto com a teoria da aparência. O foco não está na pessoa irregular do agente, mas na proteção da aparência legítima da atuação estatal.<br><br><i>Fonte: Princípio da impessoalidade</i><hr><b>BIZU:</b> O cidadão confiou no Estado aparente. A Administração não pode jogar o erro interno nas costas dele.
O que é o <b>princípio da moralidade administrativa</b>?;É o princípio que impõe aos agentes públicos uma atuação ética, honesta, proba e de boa-fé na gestão da coisa pública. Não basta agir conforme a lei, é necessário agir também conforme padrões de moralidade administrativa.<br><br><i>Fonte: Princípio da moralidade</i><hr><b>BIZU:</b> Legalidade pergunta se pode. Moralidade pergunta se é correto na gestão pública.
Um ato legal pode violar a <b>moralidade administrativa</b>?;Sim. É possível que um ato esteja formalmente conforme a lei, mas contrarie a moralidade administrativa. Nesse caso, poderá ser anulado.<br><br><i>Fonte: Princípio da moralidade</i><hr><b>BIZU:</b> Nem tudo que parece legal é moral. Em prova, isso cai muito.
Qual ação constitucional funciona como instrumento de controle da <b>moralidade administrativa</b>?;A <font color="#00e676">ação popular</font>. Qualquer cidadão pode propor ação popular para anular ato lesivo ao patrimônio público, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural.<br><br><i>Fonte: Art. 5º, LXXIII, CF/88</i><hr><b>BIZU:</b> Cidadão fiscaliza moralidade por ação popular.
Quais consequências constitucionais podem decorrer dos atos de <b>improbidade administrativa</b>?;Os atos de improbidade administrativa podem gerar suspensão dos direitos políticos, perda da função pública, indisponibilidade dos bens e ressarcimento ao erário, sem prejuízo da ação penal cabível.<br><br><i>Fonte: Art. 37, § 4º, CF/88</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">SPIR</font>. Suspensão, Perda, Indisponibilidade, Ressarcimento.
Qual é a pegadinha clássica sobre improbidade administrativa e direitos políticos?;A pegadinha é dizer que a improbidade gera <font color="#ff4444">perda dos direitos políticos</font>. O correto é <font color="#00e676">suspensão dos direitos políticos</font>.<br><br><i>Fonte: Art. 37, § 4º, CF/88</i><hr><b>BIZU:</b> Improbidade não é perda. É suspensão. Perda de direitos políticos é excepcionalíssima na Constituição.
O que é o <b>princípio da publicidade</b>?;É o princípio que exige divulgação dos atos administrativos e transparência da Administração, permitindo conhecimento público e controle pelos administrados e pelos órgãos de controle.<br><br><i>Fonte: Princípio da publicidade</i><hr><b>BIZU:</b> Publicidade é luz. Sem luz, não há controle.
Quais são as duas acepções do princípio da <b>publicidade</b>?;A primeira é a publicação oficial como requisito de eficácia de atos gerais, externos ou que onerem o patrimônio público. A segunda é a transparência da Administração para possibilitar controle pelos administrados.<br><br><i>Fonte: Princípio da publicidade</i><hr><b>BIZU:</b> Publicidade = publicar para produzir efeitos e abrir informação para controle.
