Frente;Verso
O que é uma <b>combinação</b> em análise combinatória?;É uma escolha de elementos em que a <font color="#ff4444">ordem não importa</font>. O foco é saber quais elementos foram escolhidos, não em que posição eles aparecem.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Combinação é grupo. Em grupo, trocar a ordem dos nomes não cria um grupo novo.
Qual é a frase-chave da <b>combinação</b>?;<b>A ordem não importa</b>.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Combinação = Comitê. Em comitê, Ana, Bruno e Carlos é o mesmo grupo que Carlos, Ana e Bruno.
Em uma combinação, trocar a ordem dos elementos gera uma nova possibilidade?;<b>Não</b>. Se os elementos são os mesmos, a combinação é a mesma, ainda que a ordem seja trocada.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Se só trocou a ordem e nada mudou no grupo, é combinação.
Qual é a fórmula da <b>combinação simples</b>?;<b>C(n,p) = n! / p! x (n - p)!</b>. Ela conta quantas formas existem de escolher p elementos entre n quando a ordem não importa.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> C de combinação, C de comitê, C de conjunto escolhido.
Na fórmula <b>C(n,p)</b>, o que significa <b>n</b>?;<b>n</b> é o total de elementos disponíveis para escolha.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> n é o universo inicial. É tudo que você tem antes de escolher.
Na fórmula <b>C(n,p)</b>, o que significa <b>p</b>?;<b>p</b> é a quantidade de elementos que serão escolhidos dentro do total n.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> p é a porção escolhida.
Quando devo usar <b>combinação simples</b>?;Use quando a questão pede escolher elementos <b>sem repetição</b> e a ordem não importa, como formar comitês, grupos, comissões ou escolher vértices de figuras geométricas.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Comitê, grupo e comissão quase sempre gritam combinação.
Quais palavras do enunciado costumam indicar <b>combinação</b>?;Palavras como <b>escolher</b>, <b>formar grupo</b>, <b>comissão</b>, <b>comitê</b>, <b>equipe</b>, <b>selecionar pessoas</b> e <b>montar figura com pontos</b> costumam indicar combinação.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Se ninguém ganha cargo ou posição, provavelmente é combinação.
Por que <b>comitê</b> normalmente é combinação?;Porque em um comitê não existe primeiro, segundo e terceiro lugar. O que importa é quem faz parte do grupo, não a ordem dos integrantes.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Comitê não tem pódio. Sem pódio, sem ordem.
Por que <b>comissão</b> normalmente é combinação?;Porque uma comissão é apenas um grupo de pessoas. Trocar a ordem dos nomes não muda a comissão formada.<br><br><i>Fonte: Análise Combinatória – Combinação</i><hr><b>BIZU:</b> Comissão é lista de escolhidos, não fila de chegada.
