Frente;Verso
[BLOCO 05] Quais crimes serão estudados neste bloco?;Neste bloco entram os crimes mais graves do Estatuto do Desarmamento: <br>• Art. 16: posse ou porte ilegal de arma de fogo de uso restrito <br>• Art. 16, § 2º: arma de fogo de uso proibido <br>• Art. 17: comércio ilegal de arma de fogo <br>• Art. 18: tráfico internacional de arma de fogo<br><br><i>Fonte: Lei nº 10.826/2003, arts. 16 a 18</i><hr><b>BIZU:</b> Aqui a escada sobe: restrito, proibido, comércio e tráfico internacional.
[BLOCO 05] Qual é o crime do art. 16 do Estatuto do Desarmamento?;É o crime de <b>posse ou porte ilegal de arma de fogo de uso restrito</b>, que pune quem possui, porta, transporta, adquire, fornece, recebe, guarda, oculta ou pratica outros verbos com arma, acessório ou munição de uso restrito, sem autorização e em desacordo com a lei ou regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16</i><hr><b>BIZU:</b> Art. 16 = uso restrito sem autorização.
Qual é a pena do crime do art. 16, caput?;A pena é de <font color="#ffeb3b">reclusão de 3 a 6 anos</font> e multa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16, caput</i><hr><b>BIZU:</b> Uso restrito = 3 a 6.
O art. 16 trata apenas de porte?;<b>Não.</b> O art. 16 trata de posse e porte em sentido amplo, abrangendo vários verbos como possuir, deter, portar, adquirir, fornecer, receber, transportar, ceder, emprestar, remeter, empregar, manter sob guarda e ocultar.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16</i><hr><b>BIZU:</b> Art. 16 é um tipo de muitos verbos.
Quais objetos materiais aparecem no art. 16?;O art. 16 alcança <font color="#00e676">arma de fogo</font>, <font color="#00e676">acessório</font> ou <font color="#00e676">munição</font> de uso restrito.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16</i><hr><b>BIZU:</b> Restrito não é só arma. Acessório e munição também entram.
Por que o art. 16 é mais grave que os arts. 12 e 14?;Porque envolve arma, acessório ou munição de uso restrito, que normalmente possui maior potencial ofensivo e é submetido a controle mais rigoroso.<br><br><i>Fonte: Material Estratégia, comentário ao art. 16</i><hr><b>BIZU:</b> Quanto mais restrito o objeto, mais grave o tratamento penal.
Qual é a diferença entre o art. 14 e o art. 16?;O art. 14 trata de arma, acessório ou munição de <font color="#00e676">uso permitido</font>. O art. 16 trata de arma, acessório ou munição de <font color="#ffeb3b">uso restrito</font> ou, no § 2º, de <font color="#ff4444">uso proibido</font>.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 14 e 16</i><hr><b>BIZU:</b> Permitido vai para o art. 14. Restrito vai para o art. 16. Proibido agrava no § 2º.
O art. 16 exige autorização ausente e desacordo com norma?;<b>Sim.</b> O tipo exige que a conduta ocorra sem autorização e em desacordo com determinação legal ou regulamentar.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16</i><hr><b>BIZU:</b> A fórmula se repete: sem autorização + contra a regra.
O que pune o art. 16, § 1º, inciso I?;Pune quem suprime ou altera marca, numeração ou qualquer sinal de identificação de arma de fogo ou artefato.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16, § 1º, I</i><hr><b>BIZU:</b> Raspar número é mexer na identidade da arma.
A conduta do art. 16, § 1º, I, limita-se a raspar numeração?;<b>Não.</b> Também abrange alteração de marca ou qualquer sinal de identificação, como emblema do fabricante ou outro elemento identificador.<br><br><i>Fonte: Lei nº 10.826/2003, art. 16, § 1º, I, conforme material</i><hr><b>BIZU:</b> Não decore só “numeração”. A lei fala em qualquer sinal de identificação.
