Frente;Verso
O que significa <b>porcentagem sobre porcentagem</b>?;Significa aplicar um percentual sobre um valor que já foi alterado por outro percentual.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Percentual sucessivo não soma. Percentual sucessivo multiplica.
Qual é a regra central para <b>aumentos e descontos sucessivos</b>?;Devemos multiplicar os fatores de aumento ou de redução.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumentou, descontou, aumentou de novo? Multiplique os fatores.
O que é <b>fator de aumento</b>?;É o fator multiplicativo usado quando há aumento.<br><br>Fator de aumento = 100% + percentual de aumento.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumento soma ao 100%.
O que é <b>fator de redução</b>?;É o fator multiplicativo usado quando há desconto ou redução.<br><br>Fator de redução = 100% - percentual de redução.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Desconto tira do 100%.
Qual é o fator de um <b>aumento de 20%</b>?;O fator é 1,20.<br><br>100% + 20% = 120% = 1,20.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumento de 20% transforma o valor em 120% do inicial.
Qual é o fator de uma <b>redução de 10%</b>?;O fator é 0,90.<br><br>100% - 10% = 90% = 0,90.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Desconto de 10% deixa 90% do valor.
Qual é o fator de um <b>aumento de 30%</b>?;O fator é 1,30.<br><br>100% + 30% = 130% = 1,30.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumentar 30% é multiplicar por 1,30.
Qual é o fator de uma <b>redução de 40%</b>?;O fator é 0,60.<br><br>100% - 40% = 60% = 0,60.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Se reduziu 40%, sobrou 60%.
Qual é o fator de um <b>aumento de 200%</b>?;O fator é 3,00.<br><br>100% + 200% = 300% = 3.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumento de 200% deixa o valor triplicado.
Qual é o fator de um <b>aumento de 300%</b>?;O fator é 4,00.<br><br>100% + 300% = 400% = 4.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Aumento de 300% deixa o valor quadruplicado.
Qual é o fator de uma <b>redução de 20%</b>?;O fator é 0,80.<br><br>100% - 20% = 80% = 0,80.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> Desconto de 20% deixa 80%.
Por que dois aumentos sucessivos não devem ser somados diretamente?;Porque o segundo aumento incide sobre o valor já aumentado, não sobre o valor inicial.<br><br><i>Fonte: Teoria e Exercício — Porcentagem sobre Porcentagem</i><hr><b>BIZU:</b> O segundo percentual pega carona no primeiro.
