Frente;Verso
[QUESTÃO] Um pelotão tem <b>36 policiais</b> em 4 colunas com 9 policiais. João está em uma coluna. Sorteia-se um policial de cada coluna e depois um dos 4 sorteados. Qual é a probabilidade final de João ser escolhido?;<b>1/36</b>. Primeiro João precisa ser escolhido dentro da coluna dele, com probabilidade 1/9. Depois, entre os 4 sorteados, ele precisa ser o escolhido final, com probabilidade 1/4. Logo, 1/9 x 1/4 = 1/36.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Processo em etapas usa Regra do E. João precisa passar por duas peneiras.
Qual conceito a questão do <b>pelotão de policiais</b> testa?;Ela testa probabilidade em duas etapas. Primeiro há um sorteio dentro da coluna, depois um sorteio entre os representantes das colunas.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Quando há sorteio dentro do sorteio, multiplique as chances.
Como evitar erro na questão do <b>João no pelotão</b>?;Não responda 1/9 pensando só na coluna. João ainda precisa vencer o segundo sorteio entre os 4 policiais sorteados inicialmente.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Ser pré-selecionado não é ser escolhido no final.
[QUESTÃO] Vinte bilhetes são numerados de 1 a 20. Qual é a probabilidade de sortear um número múltiplo de <b>3 ou 5</b>?;<b>9/20</b>. Múltiplos de 3: 3, 6, 9, 12, 15, 18. Múltiplos de 5: 5, 10, 15, 20. O 15 aparece nos dois grupos, então contamos uma vez só. Total favorável: 9 números.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> OU com interseção exige tirar o repetido.
Qual conceito a questão dos <b>múltiplos de 3 ou 5</b> testa?;Ela testa Regra do OU com eventos não excludentes, porque o número 15 é múltiplo de 3 e de 5 ao mesmo tempo.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Múltiplo comum é interseção.
Como evitar erro na questão dos <b>múltiplos de 3 ou 5</b>?;Não some 6 múltiplos de 3 com 4 múltiplos de 5 e responda 10/20. O número 15 foi contado duas vezes e precisa ser descontado.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> União não aceita duplicidade.
[QUESTÃO] Em um bingo com números de 1 a 90, qual é a probabilidade de o primeiro número sorteado ser múltiplo de <b>4</b>?;<b>11/45</b>. De 1 a 90 há 22 múltiplos de 4. Logo, a probabilidade é 22/90 = 11/45.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Conte os múltiplos pelo quociente inteiro.
Qual conceito a questão do <b>bingo e múltiplos de 4</b> testa?;Ela testa probabilidade básica com contagem de múltiplos. O numerador é a quantidade de múltiplos de 4 e o denominador é o total de números do bingo.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Favoráveis sobre possíveis.
[QUESTÃO] De um baralho com <b>52 cartas</b>, qual é a probabilidade de retirar um <b>nove</b>?;<b>1/13</b>. Há 4 cartas nove no baralho, uma em cada naipe. Logo, 4/52 = 1/13.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Cada valor aparece 4 vezes no baralho comum.
[QUESTÃO] De um baralho com <b>52 cartas</b>, qual é a probabilidade de retirar um <b>rei</b>?;<b>1/13</b>. Há 4 reis no baralho. Logo, 4/52 = 1/13.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Rei, dama, valete, nove, qualquer valor fixo tem 4 cartas.
Qual conceito as questões de <b>baralho</b> testam?;Elas testam probabilidade básica e conhecimento da composição do baralho: 52 cartas, 4 naipes e 13 cartas por naipe.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Baralho comum: 52 total, 4 de cada valor, 13 por naipe.
[QUESTÃO] Em um dado comum, qual é a probabilidade de sair número <b>maior que 4</b>?;<b>1/3</b>. Os resultados maiores que 4 são 5 e 6. Logo, 2/6 = 1/3.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios de fixação</i><hr><b>BIZU:</b> Maior que 4 não inclui o 4.
