Frente;Verso
O que são <b>sequências de letras</b> em psicotécnico?;São sequências em que as letras seguem um padrão <b>aseado na ordem alfa</b>ética, repetição, avanço, salto, posição ou agrupamento.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Letra também tem número: A=1, B=2, C=3.
Qual é o primeiro passo para resolver sequência de letras?;Transformar mentalmente as letras em posições do alfabeto e observar se há avanços, saltos ou repetições.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Quando a letra confundir, conte posição.
Qual é o segundo passo para resolver sequência de letras?;Verificar se o padrão aparece dentro de cada grupo ou entre os grupos.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Às vezes o segredo está dentro do bloco, não na sequência inteira.
O que significa dizer que um grupo de letras tem <b>característica comum</b>?;Significa que vários grupos obedecem à mesma regra de formação, e um deles foge dessa regra.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Questão de “único diferente” pede comparação.
Como resolver questão que pede o <b>único grupo diferente</b>?;Identifique a regra comum em quatro grupos e elimine o grupo que não respeita essa regra.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Não procure o bonito. Procure o intruso.
Na sequência de grupos <b>A B C A</b>, qual é a característica?;As três primeiras letras são consecutivas no alfabeto e a quarta letra repete a primeira.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> ABCA = três andando e volta para a primeira.
Na sequência de grupos <b>J K L J</b>, qual é a característica?;J, K e L são letras consecutivas, e a quarta letra repete a primeira, J.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> JKLJ segue o mesmo molde de ABCA.
Na sequência de grupos <b>D E F D</b>, qual é a característica?;D, E e F são letras consecutivas, e a quarta letra repete a primeira, D.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> DEF anda três letras e retorna.
Na sequência de grupos <b>T U V T</b>, qual é a característica?;T, U e V são letras consecutivas, e a quarta letra repete a primeira, T.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> TUVT segue a regra comum.
Por que o grupo <b>N O Q N</b> é diferente dos demais?;Porque N, O e Q não são três letras consecutivas. Falta a letra P entre O e Q.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> NOQ pula o P. Esse é o intruso.
[QUESTÃO] Nos grupos <b>A B C A − J K L J − D E F D − N O Q N − T U V T</b>, qual grupo NÃO tem a mesma característica?;<b>N O Q N</b>. Os demais têm três letras consecutivas e repetem a primeira no final. Em N O Q N, a sequência pula a letra P.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Achou salto indevido, achou o diferente.
Qual conceito a questão <b>A B C A − J K L J − D E F D − N O Q N − T U V T</b> testa?;Ela testa reconhecimento de padrão alfabético interno em grupos de quatro letras.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Padrão interno: consecutivas + repetição da primeira.
Qual é a pegadinha da questão dos grupos <b>ABCA, JKLJ, DEFD, NOQN, TUVT</b>?;Olhar apenas a primeira e a última letra iguais e esquecer de conferir se as letras do meio são consecutivas.<br><br><i>Fonte: Psicotécnicos – Sequência de letras</i><hr><b>BIZU:</b> Não basta repetir a primeira. O meio também precisa obedecer.
