Frente;Verso
O que é uma <b>proposição</b> em lógica?;É toda sentença declarativa que pode ser classificada apenas como verdadeira ou apenas como falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Proposição precisa aceitar carimbo de V ou F.
Qual é a característica essencial de uma <b>proposição</b>?;Ela deve ter valor lógico definido, isto é, pode ser julgada como verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Se não dá para julgar V ou F, não é proposição.
Toda frase é uma proposição?;<b>Não</b>. Apenas frases declarativas com valor lógico definido são proposições.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Pergunta, ordem e exclamação normalmente não são proposições.
Uma frase interrogativa é proposição?;<b>Não</b>. Perguntas não são classificadas como verdadeiras ou falsas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Pergunta pede resposta, não valor lógico.
Uma frase exclamativa é proposição?;<b>Não</b>. Exclamações normalmente expressam emoção e não possuem valor lógico definido.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> “Que legal!” não é V nem F.
Uma frase imperativa é proposição?;<b>Não</b>. Ordens, pedidos e comandos não são verdadeiros nem falsos.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ordem manda fazer. Proposição afirma algo.
A frase <b>“Emerson é professor”</b> é proposição?;<b>Sim</b>. É uma sentença declarativa que pode ser verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Afirmação com sujeito definido costuma ser proposição.
A frase <b>“O Brasil é um país rico”</b> é proposição?;<b>Sim</b>. Ela é declarativa e pode ser julgada como verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Mesmo que haja debate, a estrutura é declarativa.
A frase <b>“5 × 4 = 20”</b> é proposição?;<b>Sim</b>. É uma sentença matemática fechada e verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Sentença matemática fechada pode ser V ou F.
A frase <b>“4 × 2 + 1 > 4”</b> é proposição?;<b>Sim</b>. É uma sentença matemática fechada que pode ser julgada verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conta com resultado definido vira proposição.
A frase <b>“Todo brasileiro é honesto”</b> é proposição?;<b>Sim</b>. É uma sentença declarativa universal que pode ser julgada verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> “Todo” ainda permite julgamento lógico.
A frase <b>“O Chile e o Brasil”</b> é proposição?;<b>Não</b>. A frase não declara uma afirmação completa com valor lógico.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Só juntar termos não cria proposição.
A frase <b>“Ela é professora”</b> é proposição?;<b>Não</b>, no contexto do material, porque o sujeito “ela” não está determinado. Não há valor lógico definido sem saber quem é ela.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Pronome solto pode deixar a sentença aberta.
A frase <b>“X + Y é maior do que 7”</b> é proposição?;<b>Não</b>. É uma sentença aberta, pois depende dos valores de X e Y.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Variável sem valor impede carimbo V ou F.
A frase <b>“Que horas são?”</b> é proposição?;<b>Não</b>. É uma pergunta e não pode ser classificada como verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Interrogação não é proposição.
A frase <b>“Que legal!”</b> é proposição?;<b>Não</b>. É uma exclamação e não possui valor lógico definido.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Emoção não vira V ou F.
A frase <b>“Aquela mulher é linda”</b> é proposição?;<b>Não</b>, no contexto do material, pois envolve referência indeterminada e juízo subjetivo sem valor lógico objetivo definido.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Indeterminação e subjetividade podem tirar o valor lógico.
A frase <b>“Paulo é jogador de vôlei”</b> é proposição?;<b>Não</b>, conforme o gabarito do material. A frase foi tratada como não proposição no exercício apresentado.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Aqui siga o material e o gabarito da banca usada.
O que é uma <b>proposição simples</b>?;É uma oração declarativa que pode ser classificada apenas como verdadeira ou apenas como falsa e não é formada pela união de proposições menores por conectivos.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Simples é uma afirmação só.
O que é uma <b>proposição composta</b>?;É a união de duas ou mais proposições simples por meio de conectivos lógicos.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Composta junta proposições usando conectivo.
Qual é a diferença entre proposição simples e proposição composta?;A simples possui uma única afirmação lógica. A composta une duas ou mais proposições simples por conectivos lógicos.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Simples é bloco único. Composta é montagem.
A frase <b>“Florianópolis é a capital do estado de Santa Catarina”</b> é proposição simples?;<b>Sim</b>. É uma afirmação declarativa única que pode ser verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Uma afirmação completa sem conectivo lógico é simples.
A frase <b>“Maria é auxiliar em saúde bucal”</b> é proposição simples?;<b>Sim</b>. É uma sentença declarativa simples com valor lógico possível.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Sujeito definido mais predicado definido costuma formar proposição.
A frase <b>“Maria estudou e Antônio passou no teste”</b> é proposição composta?;<b>Sim</b>. Ela une duas proposições simples pelo conectivo “e”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> O “e” cola duas afirmações.
A frase <b>“João estudou e Maria passou no teste”</b> é proposição composta?;<b>Sim</b>. Há duas proposições simples ligadas por conjunção.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Dois fatos unidos por “e” formam composta.
A frase <b>“Se Mario tem febre, então deve permanecer internado por 48 horas”</b> é proposição composta?;<b>Sim</b>. Ela apresenta estrutura condicional com o conectivo “se... então”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> “Se... então” é sinal forte de proposição composta.
O que é uma <b>sentença aberta</b>?;É uma sentença que contém variável ou termo indeterminado e ainda não pode ser julgada como verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Aberta depende de preencher a lacuna.
Por que <b>X + 2 = 0</b> não é proposição?;Porque depende do valor de X. Sem atribuir valor à variável, não há como julgar se a sentença é verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Variável solta deixa a frase aberta.
Por que <b>W + Z = Y</b> não é proposição?;Porque depende dos valores de W, Z e Y. Sem valores definidos, a sentença não tem valor lógico determinado.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Muitas letras sem valor, nenhum carimbo lógico.
Qual é o teste rápido para saber se uma frase é proposição?;Pergunte: esta frase pode ser julgada como verdadeira ou falsa? Se sim, é proposição. Se não, não é proposição.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Teste do V ou F resolve a maioria.
Qual é o erro comum ao identificar proposições?;Confundir frases com aparência de conteúdo lógico com proposições. Se houver pergunta, ordem, exclamação ou variável sem valor, normalmente não é proposição.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Aparência matemática não basta. Precisa valor lógico.
O que são <b>conectivos lógicos</b>?;São palavras ou símbolos usados para unir proposições simples e formar proposições compostas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conectivo é a cola da lógica.
Quais conectivos lógicos aparecem no material de Estruturas Lógicas?;Conjunção, disjunção, disjunção exclusiva, condicional e bicondicional.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> E, ou, ou...ou, então, se e somente se.
Qual símbolo representa a <b>conjunção</b>?;<b>∧</b>. A conjunção é lida como “e”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∧ parece uma ponte juntando os dois lados.
Qual símbolo representa a <b>disjunção</b>?;<b>∨</b>. A disjunção é lida como “ou”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∨ é o “ou” inclusivo.
Qual símbolo representa a <b>disjunção exclusiva</b>?;<b>⊻</b> ou símbolo equivalente usado no material. Ela é lida como “ou... ou”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Exclusiva significa só uma verdadeira.
Qual símbolo representa o <b>condicional</b>?;<b>→</b>. O condicional é lido como “se... então”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> A seta aponta da condição para a consequência.
Qual símbolo representa o <b>bicondicional</b>?;<b>↔</b>. O bicondicional é lido como “se e somente se”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Bicondicional cobra ida e volta.
O que significa o símbolo <b>¬</b> ou <b>~</b>?;Significa negação.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negação troca o valor lógico.
O que significa <b>¬( )</b> ou <b>~( )</b>?;Significa “não é verdade que”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Parênteses mostram o bloco que está sendo negado.
O que significa uma letra como <b>p</b>, <b>q</b> ou <b>r</b> na lógica proposicional?;Representa uma proposição simples.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Letras são apelidos das frases.
O que significa o símbolo <b>≡</b>?;Significa “equivale”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Equivalência é mesma tabela-verdade.
O que significa o símbolo <b>∴</b>?;Significa “portanto”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∴ aponta conclusão.
Se <b>p</b> significa “A vaca é grande”, como traduzir <b>¬p</b>?;<b>A vaca não é grande</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negar p é negar a frase inteira.
Se <b>q</b> significa “O rato é pequeno”, como traduzir <b>¬q</b>?;<b>O rato não é pequeno</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> O símbolo ¬ troca para “não”.
Se <b>p</b> é “A vaca é grande” e <b>q</b> é “O rato é pequeno”, como traduzir <b>p ∧ q</b>?;<b>A vaca é grande e o rato é pequeno</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∧ vira “e”.
Se <b>p</b> é “A vaca é grande” e <b>q</b> é “O rato é pequeno”, como traduzir <b>p → q</b>?;<b>Se a vaca é grande, então o rato é pequeno</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> A seta vira “se... então”.
Se <b>p</b> é “A vaca é grande” e <b>q</b> é “O rato é pequeno”, como traduzir <b>¬p ∧ q</b>?;<b>A vaca não é grande e o rato é pequeno</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negue só o que está marcado com ¬.
