Frente;Verso
04.01 — Qual crime está previsto no <b>art. 137 do CP</b>?;O art. 137 prevê o crime de <b>rixa</b>, consistente em participar de briga ou contenda entre mais de duas pessoas, com vias de fato ou violência recíproca.<br><br><i>Fonte: Art. 137 do CP e material</i><hr><b>BIZU:</b> Rixa = briga generalizada. Não é agressão de um contra um. Precisa confusão recíproca com pelo menos três envolvidos. #Rixa #Art137
04.02 — Qual é a conduta nuclear do crime de rixa?;A conduta nuclear é <b>participar de rixa</b>, salvo quando o agente entra apenas para separar os contendores.<br><br><i>Fonte: Art. 137 do CP</i><hr><b>BIZU:</b> Entrou para brigar = rixa. Entrou para separar = não pratica rixa. #Conduta #Pegadinha
04.03 — Qual é a pena da rixa simples?;A pena da rixa simples é de <font color="#ffeb3b">detenção de 15 dias a 2 meses</font>, ou multa.<br><br><i>Fonte: Art. 137, caput, CP</i><hr><b>BIZU:</b> Rixa simples tem pena baixa. A forma qualificada sobe quando há morte ou lesão grave. #Pena #LeiSeca
04.04 — Qual é o número mínimo de pessoas exigido para haver rixa?;A doutrina exige <font color="#ffeb3b">três ou mais pessoas</font> se agredindo mutuamente.<br><br><i>Fonte: Art. 137 do CP e material</i><hr><b>BIZU:</b> Dois brigando não é rixa. Rixa começa no três. #NumeroMinimo #Decoreba
04.05 — Por que duas pessoas brigando não configuram rixa?;Porque a rixa exige briga entre mais de duas pessoas, com agressões recíprocas e indeterminação típica da contenda generalizada.<br><br><i>Fonte: Art. 137 do CP e material</i><hr><b>BIZU:</b> Dois brigando pode ser lesão corporal, vias de fato, ameaça ou outro crime, mas não rixa. #Pegadinha #Rixa
04.06 — Qual é a finalidade político-criminal do crime de rixa?;O crime de rixa evita a impunidade em brigas generalizadas quando não se sabe exatamente quem iniciou as agressões ou quem praticou cada conduta.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Rixa existe porque, na confusão generalizada, seria difícil punir cada agressão individualmente. #Finalidade #Mapa
04.07 — A rixa exige contato físico entre os participantes?;Não. A rixa pode ocorrer sem contato físico direto, por exemplo, com participantes arremessando pedras, paus ou objetos uns contra os outros.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Rixa não é só soco e chute. Pode ser briga à distância. #ContatoFisico #Pegadinha
04.08 — A rixa pode ser praticada apenas por vias de fato?;Sim. A rixa pode envolver vias de fato ou violência recíproca entre os contendores.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Não precisa lesão corporal para haver rixa simples. Vias de fato recíprocas já podem bastar. #ViasDeFato #Rixa
04.09 — Rixa é crime comum ou próprio?;É crime comum, pois qualquer pessoa pode praticá-lo, desde que participe da contenda coletiva.<br><br><i>Fonte: Art. 137 do CP e material</i><hr><b>BIZU:</b> Não exige qualidade especial do agente. Exige participação na confusão. #CrimeComum #SujeitoAtivo
04.10 — Rixa é crime de concurso necessário?;Sim. A rixa é crime de concurso necessário, pois exige necessariamente mais de duas pessoas participando da briga.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Concurso necessário = o tipo não existe sozinho. Rixa precisa de grupo. #ConcursoNecessario #Rixa
04.11 — Rixa admite concurso de pessoas?;Sim. Além de ser crime de concurso necessário, admite participação material ou moral de terceiros.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Quem empresta um pedaço de pau ou incentiva os brigões pode participar do crime. #ConcursoDePessoas #Participacao
04.12 — Como pode ocorrer participação material na rixa?;Ocorre participação material quando alguém fornece meios para a rixa, como entregar pedaço de pau, pedra, objeto ou instrumento para os contendores.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Participação material = ajuda concreta. #ParticipacaoMaterial #Rixa
04.13 — Como pode ocorrer participação moral na rixa?;Ocorre participação moral quando alguém incentiva, estimula ou encoraja os contendores a brigarem.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Participação moral = botar pilha na briga. #ParticipacaoMoral #Rixa
04.14 — Os participantes da rixa são sujeitos ativos e passivos ao mesmo tempo?;Parte da doutrina entende que sim, em razão das agressões mútuas. Mas eles não são sujeitos ativos e passivos da mesma conduta. Cada um é ativo em sua agressão e passivo na agressão sofrida.<br><br><i>Fonte: Doutrina citada no material</i><hr><b>BIZU:</b> Na rixa, todos atacam e todos se expõem. Mas cada agressão tem autor e vítima próprios. #SujeitoAtivo #SujeitoPassivo
04.15 — Qual é o elemento subjetivo da rixa?;O elemento subjetivo é o <b>dolo de participar da rixa</b>. Não há modalidade culposa.<br><br><i>Fonte: Art. 137 do CP e material</i><hr><b>BIZU:</b> Rixa culposa não existe. Precisa querer participar da confusão. #Dolo #Rixa
04.16 — Quem entra na rixa apenas para separar os contendores pratica crime?;Não. O próprio art. 137 exclui quem participa apenas para separar os contendores.<br><br><i>Fonte: Art. 137, caput, CP</i><hr><b>BIZU:</b> A lei diz: “salvo para separar os contendores”. Separador não é rixoso. #Excecao #Pegadinha
04.17 — Se alguém entra dizendo que vai separar, mas passa a agredir os envolvidos, responde por rixa?;Sim. Se a pessoa deixa a posição de separadora e passa a participar da briga, responde por rixa.<br><br><i>Fonte: Art. 137 do CP</i><hr><b>BIZU:</b> O que vale é a conduta real. Separar é uma coisa, entrar no combate é outra. #CasoPratico #Rixa
04.18 — Quando se consuma o crime de rixa?;A rixa se consuma com o início da briga ou com a entrada do agente na rixa, havendo efetiva troca de agressões ou vias de fato entre os rixosos.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Consumação = começou a confusão recíproca. Lesão posterior é exaurimento ou qualificadora, conforme o caso. #Consumacao #Rixa
04.19 — A ocorrência de lesões é necessária para consumar a rixa simples?;Não. A ocorrência de lesões é irrelevante para a consumação da rixa simples, bastando a participação na contenda com vias de fato ou violência recíproca.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Rixa simples não precisa de sangue. Precisa de briga coletiva. #Pegadinha #Consumacao
04.20 — A rixa admite tentativa?;Não. Segundo o material, a rixa é crime unissubsistente, consumando-se em ato único, razão pela qual não admite tentativa.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Rixa: ou começou, ou não começou. Não há rixa tentada. #Tentativa #Pegadinha
04.21 — Qual é a forma qualificada da rixa?;A rixa é qualificada se ocorre morte ou lesão corporal de natureza grave.<br><br><i>Fonte: Art. 137, parágrafo único, CP</i><hr><b>BIZU:</b> Rixa + morte ou lesão grave = forma qualificada. #RixaQualificada #Resultado
04.22 — Qual é a pena da rixa qualificada?;A pena da rixa qualificada é de <font color="#ffeb3b">detenção de 6 meses a 2 anos</font>.<br><br><i>Fonte: Art. 137, parágrafo único, CP</i><hr><b>BIZU:</b> Rixa simples = 15 dias a 2 meses ou multa. Rixa qualificada = 6 meses a 2 anos. #Pena #Decoreba
04.23 — A morte ou lesão grave precisa atingir participante da rixa?;Não. A forma qualificada incide se a morte ou lesão grave atinge qualquer pessoa, participante ou não da rixa.<br><br><i>Fonte: Material sobre art. 137 do CP</i><hr><b>BIZU:</b> Terceiro atingido também qualifica a rixa. #Resultado #Pegadinha
04.24 — Todos os participantes respondem pela rixa qualificada se ocorre morte ou lesão grave?;Prevalece que sim. Todos os participantes da rixa respondem pela forma qualificada, ainda que não tenham sido os causadores diretos da morte ou da lesão grave.<br><br><i>Fonte: Doutrina majoritária citada no material</i><hr><b>BIZU:</b> A lógica é coletiva: quem entra na rixa contribui para o risco global da contenda. #RixaQualificada #Doutrina
