Frente;Verso
O que significa a <b>Regra do E</b> em probabilidade?;A Regra do E significa multiplicar probabilidades quando o enunciado exige que um evento aconteça <b>e</b> outro também aconteça.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> E em probabilidade continua sendo multiplicação.
Qual é a frase-chave da <b>Regra do E</b> em probabilidade?;<b>E = multiplicar</b>. Quando a questão pede A e B, multiplicamos as probabilidades envolvidas, ajustando o denominador se houver retirada sem reposição.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> OU soma, E multiplica.
Quando devo usar a <b>Regra do E</b>?;Use quando os eventos precisam ocorrer juntos ou em sequência, como tirar uma bola preta e depois uma branca, acertar uma tentativa e errar outra, ou obter resultados específicos em várias etapas.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Se a história tem etapas acumuladas, multiplique.
Qual é a primeira pergunta mental antes de aplicar a <b>Regra do E</b>?;Pergunte se há <b>reposição</b> ou não. Com reposição, o total geralmente permanece igual. Sem reposição, o total diminui a cada retirada.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Voltou ou não voltou? Essa pergunta muda tudo.
Qual é a segunda pergunta mental antes de aplicar a <b>Regra do E</b>?;Pergunte se a ordem é exigida. Se o enunciado disser “nesta ordem”, não precisamos permutar. Se disser apenas os elementos, sem ordem, precisamos considerar as ordens possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Ordem escrita manda obedecer. Ordem livre manda permutar.
Quais são os quatro cenários centrais da <b>Regra do E</b> no material?;Os quatro cenários são: com reposição nesta ordem, com reposição sem ordem, sem reposição nesta ordem, sem reposição sem ordem.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Duas perguntas geram quatro caixas: reposição sim ou não, ordem sim ou não.
O que significa <b>com reposição</b>?;Significa que o item retirado volta ao conjunto antes da próxima retirada. Assim, as quantidades disponíveis geralmente permanecem iguais.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Com reposição, o universo se recompõe.
O que significa <b>sem reposição</b>?;Significa que o item retirado não volta ao conjunto. Assim, o total de possibilidades diminui nas próximas etapas.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sem reposição, a urna emagrece.
O que significa <b>nesta ordem</b> em probabilidade?;Significa que o resultado precisa acontecer exatamente na sequência indicada pelo enunciado. Por isso, não multiplicamos por permutações das etapas.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Nesta ordem é trilho fixo.
O que significa <b>sem ordem</b> em probabilidade?;Significa que o enunciado quer certos resultados, mas não exige uma sequência específica. Então devemos considerar as ordens possíveis ou usar combinação.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sem ordem permite embaralhar.
Qual é a diferença entre <b>tirar preta e branca nesta ordem</b> e <b>tirar preta e branca sem ordem</b>?;Nesta ordem, conta apenas preta depois branca. Sem ordem, contam preta depois branca e branca depois preta.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sem ordem dobra quando há dois tipos diferentes.
Como a Regra do E funciona <b>com reposição nesta ordem</b>?;Multiplicamos as probabilidades de cada etapa mantendo o mesmo total, porque o item volta ao conjunto antes da próxima etapa.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Voltou, o denominador volta também.
Como a Regra do E funciona <b>sem reposição nesta ordem</b>?;Multiplicamos as probabilidades de cada etapa reduzindo o total e as quantidades disponíveis conforme as retiradas acontecem.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Não voltou, diminua o total.
Como a Regra do E funciona <b>com reposição sem ordem</b>?;Calculamos uma ordem possível com reposição e multiplicamos pelo número de ordens distintas, ou usamos uma estrutura combinatória equivalente.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Reposição mantém as chances, sem ordem multiplica pelas permutações.
Como a Regra do E funciona <b>sem reposição sem ordem</b>?;Podemos calcular por combinações, contando grupos favoráveis sobre grupos possíveis, ou calcular uma ordem e multiplicar pelas ordens possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Sem ordem e sem reposição gosta de combinação.
O que são <b>eventos dependentes</b>?;São eventos em que a ocorrência de um altera a probabilidade do outro. No material, aparecem como eventos em que P(A) x P(B) não é igual a P(A e B).<br><br><i>Fonte: Cálculo de Probabilidade – Tipos de eventos</i><hr><b>BIZU:</b> Dependente é evento que sente o efeito do anterior.
O que são <b>eventos independentes</b>?;São eventos em que a ocorrência de um não altera a probabilidade do outro. No material, aparecem como eventos em que P(A) x P(B) = P(A e B).<br><br><i>Fonte: Cálculo de Probabilidade – Tipos de eventos</i><hr><b>BIZU:</b> Independente é evento que não liga para o anterior.
Qual é a relação entre <b>reposição</b> e <b>independência</b>?;Quando há reposição, os eventos geralmente ficam independentes, porque a composição do conjunto volta ao estado inicial antes da próxima retirada.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Voltou para a urna, zerou o impacto.
Qual é a relação entre <b>sem reposição</b> e <b>dependência</b>?;Quando não há reposição, os eventos geralmente ficam dependentes, porque a primeira retirada altera as quantidades disponíveis para a próxima.<br><br><i>Fonte: Cálculo de Probabilidade – Regra do E</i><hr><b>BIZU:</b> Tirou e não devolveu, mudou o jogo.
Em uma urna com 10 bolas, 5 pretas, 3 brancas e 2 verdes, qual é a probabilidade de sortear <b>duas pretas</b> sem reposição e sem ordem?;<b>2/9</b>. Usando combinação: C(5,2) / C(10,2) = 10 / 45 = 2/9.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Duas pretas sem ordem é grupo. Use combinação.
Qual conceito a questão das <b>duas bolas pretas</b> testa?;Ela testa probabilidade sem reposição e sem ordem. O foco é o grupo de duas bolas pretas, não a sequência exata das retiradas.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Quando a ordem não é citada, pense no grupo sorteado.
Como resolver duas bolas pretas <b>em sequência específica</b> sem reposição?;Multiplique 5/10 por 4/9, pois depois da primeira bola preta, restam 4 pretas entre 9 bolas. O resultado é 20/90 = 2/9.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Para duas pretas, a ordem não muda porque os eventos são do mesmo tipo.
Em uma urna com 10 bolas, 5 pretas, 3 brancas e 2 verdes, qual é a probabilidade de sortear <b>uma preta e uma branca</b> sem ordem?;<b>1/3</b>. Usando combinação: C(5,1) x C(3,1) / C(10,2) = 15 / 45 = 1/3.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Preta e branca sem ordem soma as duas sequências possíveis.
Como resolver <b>preta e branca sem ordem</b> por sequência?;Calcule preta depois branca: 5/10 x 3/9. Depois calcule branca depois preta: 3/10 x 5/9. Somando, temos 15/90 + 15/90 = 30/90 = 1/3.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Sem ordem com cores diferentes tem ida e volta.
Qual conceito a questão de <b>uma preta e uma branca</b> testa?;Ela testa Regra do E com ausência de reposição e ausência de ordem fixa. Como as cores são diferentes, devemos considerar as duas ordens possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> A e B sem ordem = AB ou BA.
Em uma urna com 10 bolas, 5 pretas, 3 brancas e 2 verdes, qual é a probabilidade de sortear <b>uma preta, uma branca e uma verde</b> sem ordem?;<b>1/4</b>. Usando combinação: C(5,1) x C(3,1) x C(2,1) / C(10,3) = 30 / 120 = 1/4.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Uma de cada cor, sem ordem, é grupo colorido.
Como resolver <b>preta, branca e verde sem ordem</b> por sequência?;Calcule uma ordem específica, como preta depois branca depois verde: 5/10 x 3/9 x 2/8. Depois multiplique por 3!, pois as três cores diferentes podem aparecer em 6 ordens. O resultado é 1/4.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Três tipos diferentes sem ordem pedem 3! ordens.
Qual conceito a questão de <b>uma preta, uma branca e uma verde</b> testa?;Ela testa probabilidade sem reposição e sem ordem com três tipos diferentes. Podemos resolver por combinação ou por sequência multiplicada por 3!.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Se todos os tipos são diferentes, as ordens explodem em fatorial.
Em uma urna com 10 bolas, 5 pretas, 3 brancas e 2 verdes, qual é a probabilidade de sortear <b>duas pretas e duas brancas</b> sem ordem?;<b>1/7</b>. Usando combinação: C(5,2) x C(3,2) / C(10,4) = 10 x 3 / 210 = 1/7.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Dois de um tipo e dois de outro, conte grupos.
Qual conceito a questão de <b>duas pretas e duas brancas</b> testa?;Ela testa probabilidade sem reposição, sem ordem e com repetição de tipos dentro do grupo. A combinação evita listar todas as sequências possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Quando a sequência fica chata, a combinação limpa o caminho.
Em uma urna com 10 bolas, 5 pretas, 3 brancas e 2 verdes, qual é a probabilidade de sortear <b>três pretas e uma verde</b> sem ordem?;<b>2/21</b>. Usando combinação: C(5,3) x C(2,1) / C(10,4) = 10 x 2 / 210 = 2/21.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Três pretas e uma verde é grupo de 4 bolas.
Qual conceito a questão de <b>três pretas e uma verde</b> testa?;Ela testa o uso de combinação para contar casos favoráveis e possíveis em sorteio sem reposição e sem ordem.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Favoráveis por combinação sobre possíveis por combinação.
Uma urna contém 5 bolas numeradas de 1 a 5. Tirando 3 bolas sem reposição, qual é a probabilidade de sair <b>1, 2 e 3 nesta ordem</b>?;<b>1/60</b>, aproximadamente 1,67%. A conta é 1/5 x 1/4 x 1/3 = 1/60.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Nesta ordem, siga exatamente o roteiro.
Qual conceito a questão das bolas <b>1, 2, 3 nesta ordem</b> testa?;Ela testa Regra do E sem reposição e com ordem fixa. Não há permutação das bolas, pois a sequência foi determinada.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Ordem fixa não permite embaralhar.
Como evitar erro na questão das bolas <b>1, 2, 3 nesta ordem</b>?;Não multiplique por 3!, porque a questão exige exatamente 1 depois 2 depois 3. As outras ordens não servem.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> “Nesta ordem” bloqueia o fatorial.
Uma urna contém 5 bolas numeradas de 1 a 5. Tirando 3 bolas sem reposição, qual é a probabilidade de sair <b>1, 2 e 3 em qualquer ordem</b>?;<b>1/10</b>. Usando combinação: há 1 grupo favorável, {1,2,3}, entre C(5,3) = 10 grupos possíveis. Logo, 1/10.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Sem ordem, o grupo {1,2,3} basta.
Como resolver <b>1, 2 e 3 em qualquer ordem</b> por sequência?;Calcule uma ordem específica: 1/5 x 1/4 x 1/3 = 1/60. Depois multiplique por 3!, pois 1, 2 e 3 podem aparecer em 6 ordens. Resultado: 6/60 = 1/10.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Sem ordem libera as 6 sequências.
Qual é a diferença entre <b>1, 2 e 3 nesta ordem</b> e <b>1, 2 e 3 sem ordem</b>?;Nesta ordem, só serve a sequência 1 depois 2 depois 3. Sem ordem, servem todas as 6 permutações dos três números.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo Regra do E</i><hr><b>BIZU:</b> Nesta ordem é 1 caminho. Sem ordem são 3! caminhos.
Se 10% dos projetos têm informação incorreta, qual é a probabilidade de que <b>nenhum</b> de três projetos tenha informação incorreta?;<b>0,729</b>. A chance de um projeto não ter informação incorreta é 0,90. Para três projetos independentes: 0,90 x 0,90 x 0,90 = 0,729.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Nenhum incorreto = todos corretos.
Qual conceito a questão dos <b>três projetos sem informação incorreta</b> testa?;Ela testa evento complementar e multiplicação de eventos independentes. Primeiro transformamos incorreto em correto, depois multiplicamos para três projetos.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Nenhum A geralmente vira todos não A.
Se a probabilidade de falha de um produto é 0,10, qual é a probabilidade de <b>somente duas</b> entre três pessoas comprarem produto com falha?;<b>0,027</b>. Escolhemos quais 2 das 3 terão falha: C(3,2) = 3. Depois multiplicamos 0,10² x 0,90. Total: 3 x 0,01 x 0,90 = 0,027.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> “Somente duas” pede escolher posições da falha.
Qual conceito a questão de <b>somente duas falhas entre três produtos</b> testa?;Ela testa probabilidade binomial simples: escolher posições do evento, multiplicar sucessos e fracassos, depois considerar as ordens possíveis.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Exatamente k vezes pede combinação das posições.
Entre 12 candidatos, 4 foram reprovados. Se três forem selecionados sem reposição, qual é a probabilidade de que <b>todos tenham sido aprovados</b>?;<b>14/55</b>. Há 8 aprovados. A probabilidade é 8/12 x 7/11 x 6/10 = 14/55.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Sem reposição, aprovado vai diminuindo.
Qual conceito a questão dos <b>três aprovados entre doze candidatos</b> testa?;Ela testa Regra do E sem reposição. Depois de escolher um aprovado, o total e o número de aprovados diminuem.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Selecionou e não devolveu, reduza numerador e denominador.
Um juiz tem 12 processos, sendo 3 bancários. Ao selecionar 3 processos sem reposição, qual é a probabilidade de que <b>todos sejam bancários</b>?;<b>1/220</b>, aproximadamente 0,45%. A conta é 3/12 x 2/11 x 1/10 = 1/220.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Todos bancários é sequência de sucessos sem reposição.
Qual conceito a questão dos <b>três processos bancários</b> testa?;Ela testa probabilidade sem reposição com todos os eventos de um mesmo tipo. Cada processo bancário retirado reduz as opções favoráveis restantes.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Tipo raro desaparece rápido.
Em uma urna com 10 bolas, sendo 5 pretas, 3 brancas e 2 verdes, sorteadas 3 bolas, qual é a probabilidade de <b>pelo menos uma preta</b>?;<b>11/12</b>. Use o complementar: nenhuma preta significa escolher 3 entre as 5 não pretas. Então P(nenhuma preta) = C(5,3) / C(10,3) = 10/120 = 1/12. Logo, 1 - 1/12 = 11/12.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Pelo menos uma = 1 menos nenhuma.
Qual conceito a questão de <b>pelo menos uma preta</b> testa?;Ela testa evento complementar. Em vez de contar uma preta, duas pretas ou três pretas, é mais rápido calcular 1 menos nenhuma preta.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Pelo menos uma quase sempre chama complementar.
Em uma urna com 10 bolas, sendo 5 pretas, 3 brancas e 2 verdes, sorteadas 3 bolas, qual é a probabilidade de <b>pelo menos uma branca</b>?;<b>17/24</b>. Use o complementar: nenhuma branca significa escolher 3 entre as 7 não brancas. P(nenhuma branca) = C(7,3) / C(10,3) = 35/120 = 7/24. Logo, 1 - 7/24 = 17/24.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Pelo menos uma branca = total menos zero branca.
Qual conceito a questão de <b>pelo menos uma branca</b> testa?;Ela testa complementar em sorteio sem reposição. O contrário de pelo menos uma branca é nenhuma branca.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> O contrário de “pelo menos uma” é “nenhuma”.
Em uma urna com 10 bolas, sendo 5 pretas, 3 brancas e 2 verdes, sorteadas 4 bolas, qual é a probabilidade de <b>pelo menos duas pretas</b>?;<b>31/42</b>. Conte os casos com 2, 3 ou 4 pretas sobre C(10,4). Favoráveis: C(5,2)C(5,2) + C(5,3)C(5,1) + C(5,4)C(5,0) = 100 + 50 + 5 = 155. Possíveis: C(10,4) = 210. Logo, 155/210 = 31/42.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Pelo menos duas = duas, três ou quatro.
Qual conceito a questão de <b>pelo menos duas pretas</b> testa?;Ela testa abertura de casos. Como o complementar também exigiria contar zero ou uma preta, a solução por casos 2, 3 e 4 é direta e segura.<br><br><i>Fonte: Cálculo de Probabilidade – Exercícios Regra do E</i><hr><b>BIZU:</b> Pelo menos k abre escada de k até o máximo.
Qual é o contrário de <b>pelo menos uma</b>?;O contrário de pelo menos uma é <b>nenhuma</b>.<br><br><i>Fonte: Cálculo de Probabilidade – Complementar</i><hr><b>BIZU:</b> Pelo menos 1 x Nenhuma.
Qual é o contrário de <b>pelo menos duas</b>?;O contrário de pelo menos duas é <b>zero ou uma</b>.<br><br><i>Fonte: Cálculo de Probabilidade – Complementar</i><hr><b>BIZU:</b> Pelo menos 2 falha quando tem 0 ou 1.
Qual é o contrário de <b>todos</b>?;O contrário de todos é <b>pelo menos um não</b>.<br><br><i>Fonte: Cálculo de Probabilidade – Complementar</i><hr><b>BIZU:</b> Todos cai se um escapar.
