Frente;Verso
O que é um <b>sistema de equações</b>?;É um conjunto de duas ou mais equações que devem ser satisfeitas ao mesmo tempo.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Sistema é quando as informações precisam bater juntas.
Quando usar <b>sistema de equações</b> em problemas?;Use quando há duas ou mais quantidades desconhecidas relacionadas por duas ou mais condições.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Duas incógnitas pedem duas pistas.
Qual é o primeiro passo em problemas com sistema?;Definir as incógnitas, como x e y, representando as quantidades desconhecidas.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Antes da conta, nomeie os desconhecidos.
Qual é o segundo passo em problemas com sistema?;Transformar cada condição do enunciado em uma equação.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Cada frase importante vira uma equação.
Qual é o terceiro passo em problemas com sistema?;Resolver as equações em conjunto, por substituição, comparação ou eliminação.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Resolver sistema é fazer as equações conversarem.
O que significa <b>o segundo tem o dobro do primeiro</b>?;Se o primeiro recebe x, o segundo recebe 2x.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Dobro é multiplicar por 2.
O que significa <b>o terceiro tem o quádruplo do segundo</b>?;Se o segundo recebe 2x, o terceiro recebe 8x, pois 4 vezes 2x é 8x.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Quádruplo do dobro vira oito vezes o primeiro.
[QUESTÃO] Um pai distribui 36.300 aos filhos. O segundo recebe o dobro do primeiro e o terceiro o quádruplo do segundo. Quanto recebe cada um?;<b>3.300, 6.600 e 26.400</b>. Seja o primeiro x. O segundo é 2x e o terceiro é 8x. Soma: x + 2x + 8x = 36.300. Então 11x = 36.300 e x = 3.300.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> O terceiro é quádruplo do segundo, não do primeiro.
Qual é a pegadinha da questão da <b>distribuição de 36.300</b>?;Achar que o terceiro é 4x. Na verdade, o terceiro é o quádruplo do segundo, então é 8x.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Leia de quem é o quádruplo.
Como montar sistema de <b>idade atual de pai e filho</b>?;Use uma equação para a soma das idades atuais e outra para a relação das idades futuras.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Idade futura soma o mesmo tempo aos dois.
[QUESTÃO] Pai e filho têm hoje 45 anos juntos. Daqui a 15 anos, a idade do pai será o dobro da idade do filho. Quais são as idades atuais?;<b>35 e 10</b>. Seja p a idade do pai e f a do filho. Temos p + f = 45. Daqui a 15 anos: p + 15 = 2(f + 15). Daí p = 2f + 15. Então 2f + 15 + f = 45, logo f = 10 e p = 35.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Daqui a 15 anos soma 15 nos dois lados pessoais.
Qual é a pegadinha em problemas de <b>idade futura</b>?;Aplicar o tempo futuro apenas em uma pessoa. O correto é somar o mesmo número de anos a todos os envolvidos.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> O tempo passa para todos.
Como montar sistema quando duas pessoas têm dinheiro e depois ficam com a mesma quantia?;Primeiro use a soma inicial. Depois escreva a quantia final de cada uma após gasto ou ganho e iguale essas quantias.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Igualdade final vira segunda equação.
[QUESTÃO] Pedro e José têm juntos 450. Pedro gastou 1/6 do que possuía e José ganhou 1/4 do que tinha. Depois ficaram com a mesma importância. Quanto José ganhou?;<b>45</b>. Seja P o dinheiro de Pedro e J o de José. P + J = 450. Pedro fica com 5P/6. José fica com 5J/4. Igualando: 5P/6 = 5J/4, então P = 3J/2. Logo J = 180. José ganhou 1/4 de 180, isto é, 45.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> O problema pergunta quanto José ganhou, não quanto ele tinha.
Qual é a pegadinha da questão de <b>Pedro e José</b>?;Responder o valor inicial de José. O pedido é a quantia que José ganhou, ou seja, 1/4 do que ele tinha.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Ache J e depois calcule o quarto de J.
Como interpretar <b>Pedro gastou 1/6 do que possuía</b>?;Pedro ficou com 5/6 do que possuía.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Gastou 1 parte de 6, sobraram 5.
Como interpretar <b>José ganhou 1/4 do que tinha</b>?;José passou a ter 5/4 do que tinha inicialmente.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Ganhou 1/4, ficou com 1 + 1/4 = 5/4.
Como montar sistema para <b>duas caixas com bolas</b>?;Use uma equação para o total de bolas e outra para a condição de igualdade após retirar e colocar bolas.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Total antes e igualdade depois.
[QUESTÃO] Em duas caixas existem 23 bolas. Se tirarmos 5 de uma e pusermos 2 na outra, ambas ficam com o mesmo número. Quantas bolas havia originalmente?;<b>15 e 8</b>. Seja x a caixa com mais bolas e y a outra. Temos x + y = 23. Depois da mudança: x - 5 = y + 2. Logo x = y + 7. Então y + 7 + y = 23, daí y = 8 e x = 15.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Mexeu em caixas, escreva como ficam depois.
Qual é a pegadinha da questão das <b>duas caixas</b>?;Esquecer que a igualdade ocorre depois da retirada e da colocação, não antes.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> A condição vale após a transformação.
Como montar problema com <b>número de três algarismos</b>?;Defina as centenas, dezenas e unidades. Use as relações entre algarismos e a soma dos algarismos.<br><br><i>Fonte: Raciocínio Aritmético – Sistemas de Equações</i><hr><b>BIZU:</b> Algarismo é posição, não número inteiro solto.
