Frente;Verso
O que é o <b>acordo de não persecução penal</b>, também chamado de ANPP?;O <b>ANPP</b> é um acordo entre o Ministério Público e o investigado, destinado a evitar o ajuizamento da denúncia, mediante confissão formal e circunstanciada e cumprimento de condições legais.<br><br><i>Fonte: Material Estratégia, Aula 01, p. 58</i><hr><b>BIZU:</b> ANPP é filtro antes da denúncia. O processo penal é evitado em troca de condições aceitas pelo investigado.<br><br>#BLOCO10 #ANPP #Conceito
Qual lei introduziu o <b>ANPP</b> no CPP?;O ANPP foi introduzido no CPP pela Lei 13.964 de 2019, conhecida como <b>Pacote Anticrime</b>, que incluiu o art. 28-A e seus parágrafos.<br><br><i>Fonte: Lei 13.964 de 2019 e art. 28-A do CPP</i><hr><b>BIZU:</b> Pacote Anticrime = art. 28-A = ANPP.<br><br>#BLOCO10 #Lei13964 #PacoteAnticrime
Antes da Lei 13.964 de 2019, já havia algum ato normativo sobre ANPP?;Sim. O CNMP já havia editado a Resolução 181 de 2017, prevendo acordo de não persecução penal, embora ainda não houvesse previsão legal expressa no CPP.<br><br><i>Fonte: Material Estratégia, Aula 01, p. 58</i><hr><b>BIZU:</b> Primeiro veio a resolução do CNMP. Depois o Pacote Anticrime positivou o instituto no CPP.<br><br>#BLOCO10 #CNMP #Resolução181
Qual é a finalidade central do <b>ANPP</b>?;A finalidade é evitar a instauração da ação penal, quando presentes os requisitos legais, mediante solução consensual capaz de reprovar e prevenir o crime sem processo penal tradicional.<br><br><i>Fonte: Art. 28-A do CPP</i><hr><b>BIZU:</b> ANPP não é impunidade. É responsabilização negociada sem denúncia.<br><br>#BLOCO10 #Finalidade #Consenso
O ANPP pode ser proposto quando for caso de arquivamento?;Não. O art. 28-A exige que <font color="#ff4444">não seja caso de arquivamento</font>. Se o caso deve ser arquivado, não se propõe ANPP.<br><br><i>Fonte: Art. 28-A do CPP</i><hr><b>BIZU:</b> Primeiro pergunta: arquiva? Se sim, não tem ANPP. ANPP só faz sentido quando haveria possibilidade de persecução.<br><br>#BLOCO10 #Arquivamento #Requisito
Quais são os requisitos gerais para cabimento do <b>ANPP</b>?;São requisitos: não ser caso de arquivamento, confissão formal e circunstanciada, infração penal sem violência ou grave ameaça, pena mínima inferior a 4 anos, e acordo necessário e suficiente para reprovação e prevenção do crime.<br><br><i>Fonte: Art. 28-A do CPP</i><hr><b>BIZU:</b> Fórmula: não arquiva, confessa, sem violência, mínima menor que 4, necessário e suficiente.<br><br>#BLOCO10 #Requisitos #Mapa
O ANPP cabe apenas para crimes ou também para contravenções penais?;Cabe para <b>infrações penais</b>, expressão que abrange crimes e contravenções penais, desde que preenchidos os demais requisitos legais.<br><br><i>Fonte: Material Estratégia, Aula 01, p. 58</i><hr><b>BIZU:</b> Infração penal = crime + contravenção. Mas cuidado com a transação penal no JECRIM.<br><br>#BLOCO10 #InfraçãoPenal #Contravenção
O ANPP cabe em infração penal praticada com violência ou grave ameaça?;Não. O ANPP exige infração penal sem violência ou grave ameaça, especialmente sem violência ou grave ameaça à pessoa.<br><br><i>Fonte: Art. 28-A do CPP e material Estratégia, p. 58 e 59</i><hr><b>BIZU:</b> Violência ou grave ameaça fecha a porta do ANPP.<br><br>#BLOCO10 #Violência #Vedação
Qual é o limite de pena para cabimento do <b>ANPP</b>?;A infração deve ter pena mínima <font color="#ffeb3b">inferior a 4 anos</font>. Se a pena mínima for igual a 4 anos, não cabe ANPP, salvo incidência de causa de diminuição que reduza a mínima no caso concreto.<br><br><i>Fonte: Art. 28-A do CPP</i><hr><b>BIZU:</b> Menor que 4 cabe. Igual a 4 não cabe, a menos que o cálculo concreto reduza.<br><br>#BLOCO10 #PenaMínima #Requisito
Para aferir a pena mínima no ANPP, consideram-se causas de aumento e diminuição?;Sim. Para aferir a pena mínima, devem ser consideradas as causas de aumento e diminuição aplicáveis ao caso concreto.<br><br><i>Fonte: Art. 28-A, § 1º do CPP</i><hr><b>BIZU:</b> Não olhe só a pena seca do tipo. Faça a conta com majorantes e minorantes.<br><br>#BLOCO10 #CálculoDaPena #Art28A
