Frente;Verso
O que são <b>proposições logicamente equivalentes</b>?;São proposições que possuem sempre o mesmo valor lógico em todas as possibilidades da tabela-verdade.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Equivalentes são frases diferentes com a mesma lógica.
Como identificar duas proposições equivalentes pela tabela-verdade?;Compare a coluna final das duas proposições. Se as colunas forem idênticas em todas as linhas, elas são equivalentes.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Mesma coluna final, mesma proposição lógica.
Qual símbolo costuma representar <b>equivalência lógica</b>?;<b>≡</b>.<br><br><i>Fonte: Estruturas Lógicas e Equivalências</i><hr><b>BIZU:</b> ≡ significa “equivale logicamente a”.
A equivalência lógica muda o sentido lógico da frase?;<b>Não</b>. Ela muda a forma da frase, mas preserva exatamente o mesmo valor lógico.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Troca a roupa, não troca a alma.
Qual é a equivalência por <b>contrapositiva</b> do condicional?;<b>p → q ≡ ¬q → ¬p</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Contrapositiva inverte e nega.
O que significa dizer que a contrapositiva <b>inverte e nega</b>?;Significa que a proposição p → q vira ¬q → ¬p. O consequente vai para frente negado e o antecedente vai para trás negado.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Inverte a ordem e coloca “não” nos dois lados.
Qual é a contrapositiva de <b>Se estudo, então passo</b>?;<b>Se não passo, então não estudo</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Estudo → passo vira não passo → não estudo.
Qual é a contrapositiva de <b>Se chove, então a rua molha</b>?;<b>Se a rua não molha, então não chove</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Chove → molha vira não molha → não chove.
Qual é a contrapositiva de <b>Se João é policial, então João é servidor público</b>?;<b>Se João não é servidor público, então João não é policial</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Policial → servidor vira não servidor → não policial.
A proposição <b>p → q</b> é equivalente a <b>q → p</b>?;<b>Não</b>. q → p é a recíproca, não a contrapositiva. A equivalente correta é ¬q → ¬p.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Só inverter não basta. Tem que inverter e negar.
A proposição <b>p → q</b> é equivalente a <b>¬p → ¬q</b>?;<b>Não</b>. ¬p → ¬q é a inversa, não a contrapositiva. A equivalente correta é ¬q → ¬p.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Só negar não basta. Tem que inverter também.
Qual é o erro clássico na <b>contrapositiva</b>?;Achar que p → q equivale a q → p. A contrapositiva correta é ¬q → ¬p.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Recíproca não é equivalente.
Qual é a equivalência do condicional pela <b>Regra do Neymar</b>?;<b>p → q ≡ ¬p ∨ q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Neymar: nega a primeira e mantém a segunda.
O que significa a <b>Regra do Neymar</b>?;Ao transformar “se p, então q” em “ou”, negamos a primeira proposição e mantemos a segunda. Assim, p → q vira ¬p ∨ q.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> NEYMAR = NEga a primeira e MAntém a segunda.
Pela Regra do Neymar, como fica <b>Se estudo, então passo</b>?;<b>Não estudo ou passo</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Estudo → passo vira não estudo ou passo.
Pela Regra do Neymar, como fica <b>Se chove, então levo guarda-chuva</b>?;<b>Não chove ou levo guarda-chuva</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Negue a primeira e mantenha a segunda.
Pela Regra do Neymar, como fica <b>Se Ana é médica, então Ana estudou muito</b>?;<b>Ana não é médica ou Ana estudou muito</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> A segunda parte não muda.
A proposição <b>p → q</b> é equivalente a <b>p ∨ q</b>?;<b>Não</b>. Pela Regra do Neymar, p → q equivale a ¬p ∨ q.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> No “ou”, a primeira precisa ser negada.
A proposição <b>p → q</b> é equivalente a <b>¬p ∨ ¬q</b>?;<b>Não</b>. A segunda proposição deve ser mantida. O correto é ¬p ∨ q.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Neymar nega só a primeira.
A proposição <b>p → q</b> é equivalente a <b>q ∨ ¬p</b>?;<b>Sim</b>. Como o “ou” é comutativo, ¬p ∨ q equivale a q ∨ ¬p.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> No OU, a ordem pode trocar.
Qual é a equivalência do <b>OU</b> para o <b>ENTÃO</b> pela Regra do Neymar?;<b>p ∨ q ≡ ¬p → q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Para transformar OU em ENTÃO, negue a primeira e mantenha a segunda.
Como transformar <b>p ∨ q</b> em condicional?;<b>¬p → q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> OU vira ENTÃO negando a primeira.
Como transformar <b>não estudo ou passo</b> em condicional?;<b>Se estudo, então passo</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> ¬p ∨ q volta para p → q.
Como transformar <b>não chove ou levo guarda-chuva</b> em condicional?;<b>Se chove, então levo guarda-chuva</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O não da primeira desaparece ao virar antecedente.
Como transformar <b>p ∨ ¬q</b> em condicional?;<b>¬p → ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Negue a primeira e mantenha a segunda.
Como transformar <b>¬p ∨ ¬q</b> em condicional?;<b>p → ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> A primeira já estava negada, então vira positiva no antecedente.
Como transformar <b>¬p ∨ q</b> em condicional?;<b>p → q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Essa é a volta clássica do Neymar.
Qual é a equivalência entre <b>contrapositiva</b> e <b>Regra do Neymar</b> para p → q?;As duas geram proposições equivalentes a p → q. Pela contrapositiva, p → q vira ¬q → ¬p. Pela Regra do Neymar, p → q vira ¬p ∨ q.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Um mesmo condicional tem duas roupas famosas.
Quais são duas formas equivalentes de <b>p → q</b>?;<b>¬q → ¬p</b> e <b>¬p ∨ q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Condicional tem contrapositiva e Neymar.
Quais são duas formas equivalentes de <b>Se estudo, então passo</b>?;<b>Se não passo, então não estudo</b> e <b>não estudo ou passo</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Uma por contrapositiva, outra por Neymar.
A contrapositiva de uma proposição condicional sempre preserva o valor lógico?;<b>Sim</b>. O condicional e sua contrapositiva são logicamente equivalentes.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Contrapositiva é troca segura.
A transformação do condicional em <b>¬p ∨ q</b> sempre preserva o valor lógico?;<b>Sim</b>. p → q e ¬p ∨ q são logicamente equivalentes.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Neymar é troca segura.
Qual é a tabela lógica que justifica <b>p → q ≡ ¬p ∨ q</b>?;Ambas só são falsas quando p é verdadeira e q é falsa. Nos demais casos, ambas são verdadeiras.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Mesmo único caso falso, mesma lógica.
Por que <b>p → q</b> e <b>¬q → ¬p</b> são equivalentes?;Porque ambas são falsas exatamente no mesmo caso: p verdadeiro e q falso.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Mesma queda, mesma tabela.
Qual é a equivalência do <b>bicondicional</b> em termos de dois condicionais?;<b>p ↔ q ≡ (p → q) ∧ (q → p)</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se e somente se exige ida e volta.
Como ler <b>p ↔ q</b> por condicionais?;<b>Se p, então q</b> e <b>se q, então p</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Bicondicional é seta dupla.
Qual é outra equivalência útil do <b>bicondicional</b>?;<b>p ↔ q ≡ (p ∧ q) ∨ (¬p ∧ ¬q)</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Bicondicional é verdadeiro quando os dois são V ou os dois são F.
Por que <b>p ↔ q</b> equivale a <b>(p ∧ q) ∨ (¬p ∧ ¬q)</b>?;Porque o bicondicional é verdadeiro quando p e q têm o mesmo valor lógico, isto é, ambos verdadeiros ou ambos falsos.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Igualdade lógica: V com V ou F com F.
Qual é a equivalência da <b>disjunção exclusiva</b>?;<b>p ⊻ q ≡ (p ∧ ¬q) ∨ (¬p ∧ q)</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Ou exclusivo é um verdadeiro e o outro falso.
Por que <b>p ⊻ q</b> equivale a <b>(p ∧ ¬q) ∨ (¬p ∧ q)</b>?;Porque a disjunção exclusiva é verdadeira exatamente quando uma proposição é verdadeira e a outra é falsa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Exclusivo exige diferença.
Qual é a relação entre <b>bicondicional</b> e <b>disjunção exclusiva</b>?;Eles são opostos em valor lógico. O bicondicional é verdadeiro quando os valores são iguais, e o ou exclusivo é verdadeiro quando os valores são diferentes.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Igualdade é ↔. Diferença é ou exclusivo.
Qual é a equivalência comutativa da conjunção?;<b>p ∧ q ≡ q ∧ p</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> No E, a ordem não muda o valor.
Qual é a equivalência comutativa da disjunção inclusiva?;<b>p ∨ q ≡ q ∨ p</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> No OU, a ordem também não muda o valor.
O condicional é comutativo?;<b>Não</b>. Em geral, p → q não equivale a q → p.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Seta tem direção.
Por que <b>p ∧ q</b> equivale a <b>q ∧ p</b>?;Porque a conjunção exige que as duas proposições sejam verdadeiras, independentemente da ordem.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> E é simétrico.
Por que <b>p ∨ q</b> equivale a <b>q ∨ p</b>?;Porque a disjunção inclusiva exige que pelo menos uma seja verdadeira, independentemente da ordem.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> OU inclusivo é simétrico.
Qual é a equivalência de dupla negação?;<b>¬¬p ≡ p</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Dois nãos se cancelam.
Como simplificar <b>não é verdade que João não estudou</b>?;<b>João estudou</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Dupla negação volta para a afirmação.
Como simplificar <b>¬¬(p ∨ q)</b>?;<b>p ∨ q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Dupla negação do bloco cancela.
A proposição <b>p → q</b> equivale a <b>¬p ∨ q</b>. Então <b>¬p ∨ q</b> equivale a quê?;<b>p → q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Equivalência funciona nos dois sentidos.
A proposição <b>¬q → ¬p</b> equivale a quê?;<b>p → q</b>.<br><br><i>Fonte: Equivalências Lógicas</i><hr><b>BIZU:</b> Reconheça a contrapositiva de volta.
