Frente;Verso
O que significa <b>solidariedade federativa</b> na segurança pública?;<b>Solidariedade federativa</b> é a atuação cooperativa entre União, Estados, Distrito Federal e Municípios para preservar a ordem pública e a incolumidade das pessoas e do patrimônio.<br><br><i>Fonte: Art. 144, CF/88 e Lei 13.675/2018</i><hr><b>BIZU:</b> Segurança pública não é ilha. É rede federativa: União, Estados, DF e Municípios atuando de forma coordenada.
Qual problema prático motivou a Lei Federal nº <font color="#ffeb3b">11.473/2007</font>?;A lei buscou proteger a população contra os efeitos danosos de interrupções nos serviços de segurança pública pelos Estados e pelo Distrito Federal, muitas vezes motivadas por greves.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Se o serviço estadual trava, a cooperação federativa entra para evitar abandono da população.
A Lei nº <font color="#ffeb3b">11.473/2007</font> permite que a União faça o quê em matéria de segurança pública?;Permite que a <b>União</b> firme convênio com os Estados e o Distrito Federal para executar atividades e serviços imprescindíveis à preservação da ordem pública e da incolumidade das pessoas e do patrimônio.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Palavra-chave: <font color="#00e676">convênio</font>. A União coopera, não invade.
A cooperação da Lei nº 11.473/2007 ocorre com quais entes?;Ocorre entre a <b>União</b>, os <b>Estados</b> e o <b>Distrito Federal</b>, mediante convênio.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Para essa lei, grave: União + Estados + DF.
Quais atividades podem integrar a cooperação federativa em segurança pública?;A cooperação pode envolver <b>operações conjuntas</b>, <b>transferência de recursos</b> e <b>atividades de capacitação e qualificação de profissionais</b>.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Trinca da cooperação: operar junto, enviar recursos, capacitar gente.
No âmbito de qual órgão ocorre a cooperação federativa citada pela Lei nº 11.473/2007?;No âmbito da <b>Secretaria Nacional de Segurança Pública</b>.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Cooperação nacional em segurança pública passa pela SENASP.
Celebrado o convênio, quem pode colocar servidores federais à disposição dos Estados e do DF?;A <b>União</b>, por intermédio do <b>Ministério da Justiça</b>, pode colocar servidores públicos federais à disposição dos Estados e do Distrito Federal.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Ministério da Justiça é o canal operacional da União nessa cooperação.
Em que caráter a União pode disponibilizar servidores federais aos Estados e ao DF na cooperação de segurança pública?;Em caráter <font color="#00e676">emergencial</font> e <font color="#00e676">provisório</font>, sem ônus.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Dupla-chave: emergencial e provisório. Não é substituição permanente.
Que tipo de servidor federal pode ser colocado à disposição dos Estados e do DF?;Servidores públicos federais ocupantes de <b>cargos congêneres</b> e de <b>formação técnica compatível</b>.<br><br><i>Fonte: Lei Federal nº 11.473/2007</i><hr><b>BIZU:</b> Não é qualquer servidor. Tem que ter cargo parecido e formação compatível.
Qual decreto disciplina a Força Nacional de Segurança Pública?;O <font color="#ffeb3b">Decreto nº 5.289/2004</font> disciplina regras gerais de organização e funcionamento da administração pública federal para o programa da <b>Força Nacional de Segurança Pública</b>.<br><br><i>Fonte: Decreto nº 5.289/2004</i><hr><b>BIZU:</b> Lei 11.473 fala em cooperação. Decreto 5.289 organiza a Força Nacional.
