Frente;Verso
O que são <b>dados agrupados em classe</b>?;São dados organizados em intervalos ou faixas de valores, acompanhados de suas frequências.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Em classe, o dado vem por faixa, não por valor exato.
Quando usamos <b>média aritmética para dados agrupados em classe</b>?;Usamos quando os dados estão em uma tabela com intervalos de classe e frequências.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Faixa mais frequência pede ponto médio.
Qual é a ideia central da média em <b>dados agrupados em classe</b>?;Como não sabemos os valores exatos dentro de cada classe, usamos o ponto médio de cada classe como representante do intervalo.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> O ponto médio fala pela classe inteira.
Qual é o primeiro passo para calcular média em dados agrupados em classe?;Calcular o ponto médio de cada classe.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Antes da média, ache o representante da faixa.
Como calcular o <b>ponto médio</b> de uma classe?;Some o limite inferior com o limite superior e divida por 2.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Ponto médio é ponta esquerda mais ponta direita dividido por 2.
Qual é a fórmula do <b>ponto médio</b>?;<b>PM = (Li + Ls) / 2</b>.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Li é limite inferior. Ls é limite superior.
Qual é o ponto médio da classe <b>1 a 5</b>?;<b>3</b>. A conta é (1 + 5) / 2 = 3.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> O centro de 1 e 5 é 3.
Qual é o ponto médio da classe <b>5 a 9</b>?;<b>7</b>. A conta é (5 + 9) / 2 = 7.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> O centro da faixa vira o valor usado na conta.
Qual é o ponto médio da classe <b>9 a 13</b>?;<b>11</b>. A conta é (9 + 13) / 2 = 11.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> Ponto médio é média dos limites.
Qual é o ponto médio da classe <b>13 a 17</b>?;<b>15</b>. A conta é (13 + 17) / 2 = 15.<br><br><i>Fonte: Medidas de Posição – Média aritmética em classe</i><hr><b>BIZU:</b> A classe 13 a 17 será representada por 15.
