Frente;Verso
O que é a <b>regra da torneira</b>?;É um método para resolver problemas em que uma ou mais fontes enchem, esvaziam ou realizam uma tarefa juntas.<br><br><i>Fonte: Regra de Três Simples — Parte 2 — Regra da Torneira</i><hr><b>BIZU:</b> Torneira é nome simbólico. A mesma lógica vale para operários, faxineiros, datilógrafas e máquinas.
Qual é a ideia central da regra da torneira?;Transformar cada agente em uma <font color="#00e676">taxa de trabalho</font> por unidade de tempo.<br><br>Se faz tudo em 10 horas, faz 1/10 do trabalho por hora.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Tempo sozinho vira fração do trabalho por tempo.
Se uma torneira enche um tanque em 10 horas, quanto ela enche em 1 hora?;Ela enche 1/10 do tanque por hora.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Quem faz tudo em T horas faz 1/T por hora.
Se uma válvula esvazia um tanque em 15 horas, quanto ela esvazia em 1 hora?;Ela esvazia 1/15 do tanque por hora.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Válvula que esvazia entra como taxa negativa.
Como representar uma torneira que enche e uma válvula que esvazia funcionando juntas?;Some a taxa da torneira e subtraia a taxa da válvula.<br><br>Taxa líquida = taxa que enche − taxa que esvazia.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Encher é positivo. Esvaziar é negativo.
Como representar duas pessoas trabalhando juntas na mesma tarefa?;Some as produtividades individuais.<br><br>Se uma faz 1/3 por dia e outra faz 1/6 por dia, juntas fazem 1/3 + 1/6 = 1/2 por dia.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Trabalhar junto é somar velocidades de trabalho.
Depois de achar a taxa conjunta, como encontrar o tempo total?;Faça o inverso da taxa conjunta.<br><br>Se juntos fazem 1/5 da obra por dia, então fazem a obra em 5 dias.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Taxa 1/T e tempo T são inversos.
Qual é a fórmula mental da regra da torneira?;Cada agente faz 1/T do trabalho por unidade de tempo. Depois somamos quem ajuda e subtraímos quem atrapalha.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Ajuda soma. Atrapalha subtrai.
Qual é a principal diferença entre regra de três simples e regra da torneira?;Na regra de três simples, comparamos grandezas proporcionais. Na regra da torneira, somamos ou subtraímos produtividades.<br><br><i>Fonte: Regra de Três Simples — Parte 2 — Regra da Torneira</i><hr><b>BIZU:</b> Torneira não é só proporção. É taxa de trabalho.
Qual é a principal armadilha na regra da torneira?;Somar tempos diretamente em vez de somar produtividades.<br><br><i>Fonte: Regra da Torneira</i><hr><b>BIZU:</b> Nunca some 3 dias + 6 dias para achar trabalho conjunto. Some 1/3 + 1/6.
