Frente;Verso
O que é uma <b>equação do 2º grau</b>?;É uma equação em que a maior potência da incógnita é 2.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Viu x² como maior potência, pense em 2º grau.
Qual é a forma geral de uma equação do 2º grau?;<b>ax² + bx + c = 0</b>, com a diferente de zero.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O a não pode ser zero, senão vira 1º grau.
O que representam <b>a</b>, <b>b</b> e <b>c</b> em ax² + bx + c = 0?;a é o coeficiente de x², b é o coeficiente de x e c é o termo independente.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> a acompanha x², b acompanha x, c fica sozinho.
Qual é a fórmula de Bhaskara?;<b>x = (-b ± √Δ) / 2a</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Bhaskara resolve qualquer quadrática completa.
Qual é a fórmula do discriminante <b>Δ</b>?;<b>Δ = b² - 4ac</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Delta decide o tipo de raiz.
O que acontece quando <b>Δ > 0</b>?;A equação possui duas raízes reais distintas.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Delta positivo abre duas respostas reais.
O que acontece quando <b>Δ = 0</b>?;A equação possui duas raízes reais iguais.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Delta zero junta as raízes.
O que acontece quando <b>Δ < 0</b>?;A equação não possui raízes reais.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Delta negativo foge dos reais.
Qual é a soma das raízes de <b>ax² + bx + c = 0</b>?;<b>S = -b/a</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Soma troca o sinal do b e divide por a.
Qual é o produto das raízes de <b>ax² + bx + c = 0</b>?;<b>P = c/a</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Produto é c sobre a.
Quando usar soma e produto das raízes em vez de Bhaskara?;Use quando a questão pede diretamente soma, produto ou relação entre raízes e não exige encontrar as duas raízes por completo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se pediu produto, não faça a volta inteira.
[QUESTÃO] O produto das raízes reais de <b>x² - 11x + 28 = 0</b> é quanto?;<b>28</b>. Na equação, a = 1 e c = 28. O produto das raízes é c/a, então 28/1 = 28.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Produto das raízes é c sobre a.
Qual é a pegadinha da questão <b>x² - 11x + 28 = 0</b>?;A questão pede o produto das raízes, não as raízes. Basta usar c/a.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Não use Bhaskara quando c/a resolve.
Quais são as raízes de <b>x² - 11x + 28 = 0</b>?;<b>4 e 7</b>. A soma é 11 e o produto é 28, então as raízes são 4 e 7.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> 4 vezes 7 dá 28 e 4 mais 7 dá 11.
[QUESTÃO] As soluções de <b>2x² + 2x - 4 = 0</b> são quais?;<b>x = 1 e x = -2</b>. Dividindo tudo por 2, temos x² + x - 2 = 0. Fatorando, fica (x - 1)(x + 2) = 0.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Antes de Bhaskara, simplifique a equação.
Como simplificar <b>2x² + 2x - 4 = 0</b>?;Divida todos os termos por 2 e obtenha <b>x² + x - 2 = 0</b>.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Dividir por fator comum deixa a conta leve.
Como fatorar <b>x² + x - 2 = 0</b>?;Procure dois números cujo produto seja -2 e soma seja 1. São 2 e -1, então a fatoração é (x + 2)(x - 1) = 0.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Produto no c, soma no b.
[QUESTÃO] O produto das raízes de <b>x² + 2x - 35 = 0</b> é quanto?;<b>-35</b>. Como a = 1 e c = -35, o produto é c/a = -35.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> O sinal do c entra no produto.
Quais são as raízes de <b>x² + 2x - 35 = 0</b>?;<b>5 e -7</b>. O produto é -35 e a soma é -2, pois a soma das raízes é -b/a.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> 5 e -7 multiplicam -35 e somam -2.
[QUESTÃO] O produto das raízes de <b>x² + 3x - 4 = 0</b> é quanto?;<b>-4</b>. Como a = 1 e c = -4, o produto é -4.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Produto das raízes vem direto do c.
Quais são as raízes de <b>x² + 3x - 4 = 0</b>?;<b>1 e -4</b>. O produto é -4 e a soma é -3.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> 1 e -4 fecham soma e produto.
[QUESTÃO] As raízes de <b>x² + 2x - 3 = 0</b>, com x1 maior que x2, têm razão x1/x2 igual a quanto?;<b>-1/3</b>. As raízes são 1 e -3. Como x1 > x2, x1 = 1 e x2 = -3. Logo, x1/x2 = 1/(-3) = -1/3.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> A questão pede razão, não apenas raízes.
Quais são as raízes de <b>x² + 2x - 3 = 0</b>?;<b>1 e -3</b>. O produto é -3 e a soma é -2.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Depois de achar as raízes, veja a ordem pedida.
Qual é a pegadinha da questão da razão <b>x1/x2</b>?;Ignorar a condição x1 > x2. É preciso colocar x1 = 1 e x2 = -3 antes de calcular a razão.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Ordem das raízes muda a fração.
[QUESTÃO] As raízes de <b>x² + x - 12 = 0</b> são quais?;<b>3 e -4</b>. O produto é -12 e a soma é -1. Portanto, as raízes são 3 e -4.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Produto negativo indica sinais opostos.
Como fatorar <b>x² + x - 12 = 0</b>?;Como 4 e -3 têm produto -12 e soma 1, temos (x + 4)(x - 3) = 0. Logo, x = -4 ou x = 3.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Cuidado com os sinais na fatoração.
[QUESTÃO] Sobre as raízes de <b>x² - 3x - 10 = 0</b>, o que é correto afirmar?;<b>Uma raiz pertence aos naturais e a outra aos inteiros</b>. As raízes são 5 e -2. O 5 é natural e -2 é inteiro.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Raiz negativa é inteira, mas não natural.
Quais são as raízes de <b>x² - 3x - 10 = 0</b>?;<b>5 e -2</b>. O produto é -10 e a soma é 3.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> 5 e -2 multiplicam -10 e somam 3.
Por que em <b>x² - 3x - 10 = 0</b> não podemos dizer que as duas raízes são positivas?;Porque uma das raízes é -2, que é negativa.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Produto negativo sempre indica raízes com sinais opostos quando ambas são reais.
Como traduzir <b>antecedente de um número</b>?;Se o número é x, seu antecedente é x - 1.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Antecedente é o número anterior.
Como traduzir <b>do quadrado de um número subtrairmos o triplo do seu antecedente</b>?;Se o número é x, a expressão é x² - 3(x - 1).<br><br><i>Fonte: Raciocínio Aritmético – Equação do 2º grau</i><hr><b>BIZU:</b> Triplo do antecedente exige parênteses.
