Frente;Verso
O que é <b>permutação</b> em análise combinatória?;Permutação é a contagem das formas de ordenar todos os elementos disponíveis. Ela é um caso particular de arranjo em que todos os elementos são usados.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Permutar é reorganizar tudo. Se todos entram na fila, pense em permutação.
Por que a <b>permutação</b> é um caso particular de arranjo?;Porque no arranjo escolhemos e ordenamos parte dos elementos. Na permutação, escolhemos e ordenamos todos os elementos disponíveis.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Arranjo usa alguns. Permutação usa todos.
Qual é a fórmula da <b>permutação simples</b>?;<b>Pn = n!</b>. Usamos quando há n elementos distintos e todos serão ordenados.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Todos diferentes em fila, use n fatorial.
Quando devo usar <b>permutação simples</b>?;Use quando todos os elementos são diferentes e todos serão organizados em alguma ordem, como anagramas de palavra sem letras repetidas ou pessoas em uma fila.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Tudo entra, tudo é diferente, fatorial direto.
Qual é a relação entre <b>permutação simples</b> e <b>fatorial</b>?;A permutação simples de n elementos é exatamente n!, pois o primeiro lugar tem n opções, o segundo n menos 1, o terceiro n menos 2, e assim por diante.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Permutação simples é fatorial aplicado.
Como calcular a quantidade de formas de ordenar <b>5 elementos distintos</b>?;Use <b>5! = 5 x 4 x 3 x 2 x 1 = 120</b>.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Cinco elementos diferentes em fila geram 120 ordens.
Como calcular a quantidade de formas de ordenar <b>6 elementos distintos</b>?;Use <b>6! = 6 x 5 x 4 x 3 x 2 x 1 = 720</b>.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> 6! = 720 é número clássico de prova.
Qual é a diferença entre <b>arranjo</b> e <b>permutação</b>?;No arranjo, escolhemos e ordenamos apenas parte dos elementos. Na permutação, ordenamos todos os elementos disponíveis.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Arranjo é seleção com ordem. Permutação é reorganização completa.
Qual é a diferença entre <b>combinação</b> e <b>permutação</b>?;Na combinação, a ordem não importa. Na permutação, a ordem importa e todos os elementos são organizados.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Combinação forma grupo. Permutação forma fila.
O que é um <b>anagrama</b>?;Anagrama é uma reorganização das letras de uma palavra, formando sequências diferentes com as mesmas letras.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Anagrama é bagunçar as letras contando cada ordem possível.
Por que anagramas geralmente usam <b>permutação</b>?;Porque as letras da palavra são reorganizadas em posições diferentes. Quando todas as letras são usadas, estamos permutando os elementos.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Palavra inteira embaralhada, permutação ativada.
Quando um anagrama usa <b>permutação simples</b>?;Quando todas as letras da palavra são diferentes. Nesse caso, o número de anagramas é n!, em que n é o total de letras.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Letras todas diferentes, fatorial direto.
[QUESTÃO] Quantos são os anagramas da palavra <b>ORDEM</b>?;<b>120 anagramas</b>. A palavra ORDEM tem 5 letras diferentes. Logo, o total é 5! = 120.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> ORDEM tem 5 letras sem repetição. Use 5!.
Qual conceito a questão dos anagramas de <b>ORDEM</b> testa?;Ela testa <b>permutação simples</b>, pois todas as 5 letras são distintas e todas serão usadas.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Palavra sem letra repetida é permutação simples.
Como evitar erro na questão dos anagramas de <b>ORDEM</b>?;Não use combinação, porque a ordem das letras muda a palavra formada. Também não divida por repetição, pois não há letras repetidas.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Ordem das letras importa, e todas são diferentes.
O que é <b>permutação com repetição</b>?;É a contagem das formas de ordenar elementos quando alguns deles são iguais. Como trocas entre elementos iguais não geram nova sequência, dividimos pelos fatoriais das repetições.<br><br><i>Fonte: Análise Combinatória – Permutação com repetição</i><hr><b>BIZU:</b> Letras iguais geram contagens duplicadas. A divisão limpa essas duplicatas.
Qual é a fórmula da <b>permutação com repetição</b>?;<b>P = n! / a! x b! x c! ...</b>, em que n é o total de elementos e a, b, c são as quantidades repetidas de cada tipo.<br><br><i>Fonte: Análise Combinatória – Permutação com repetição</i><hr><b>BIZU:</b> Total em cima, repetições embaixo.
Quando devo usar <b>permutação com repetição</b>?;Use quando todos os elementos serão ordenados, mas existem elementos iguais, como palavras com letras repetidas ou números com algarismos repetidos.<br><br><i>Fonte: Análise Combinatória – Permutação com repetição</i><hr><b>BIZU:</b> Tudo entra na fila, mas tem gêmeos. Divida pelos gêmeos.
Por que precisamos dividir na <b>permutação com repetição</b>?;Porque a permutação simples conta como diferentes algumas trocas entre elementos iguais. Como essas trocas não geram resultado novo, dividimos pelas repetições.<br><br><i>Fonte: Análise Combinatória – Permutação com repetição</i><hr><b>BIZU:</b> Trocar A com A não muda nada. A divisão corrige isso.
[QUESTÃO] Quantos são os anagramas da palavra <b>BANANA</b>?;<b>60 anagramas</b>. A palavra tem 6 letras, com A repetido 3 vezes e N repetido 2 vezes. Logo, 6! / 3! x 2! = 720 / 12 = 60.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> BANANA tem letras repetidas. Total em cima, repetições embaixo.
Qual conceito a questão dos anagramas de <b>BANANA</b> testa?;Ela testa <b>permutação com repetição</b>, pois todas as letras são usadas e algumas letras aparecem mais de uma vez.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Palavra com letra repetida quase sempre pede divisão.
Como evitar erro na questão dos anagramas de <b>BANANA</b>?;Não faça apenas 6!. Isso contaria trocas invisíveis entre letras A iguais e N iguais. O correto é dividir por 3! e por 2!.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Repetiu letra, dividiu.
[QUESTÃO] Quantos números distintos podemos formar permutando os algarismos de <b>777443</b>?;<b>60 números</b>. São 6 algarismos, com 7 repetido 3 vezes e 4 repetido 2 vezes. Logo, 6! / 3! x 2! = 60.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Algarismo repetido funciona como letra repetida.
Qual conceito a questão do número <b>777443</b> testa?;Ela testa <b>permutação com repetição</b>, porque todos os algarismos serão reorganizados e há algarismos repetidos.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Reorganizar algarismos repetidos é o mesmo raciocínio de anagrama com repetição.
Como evitar erro na questão do número <b>777443</b>?;Não use 6!, pois os três algarismos 7 são iguais entre si e os dois algarismos 4 também são iguais entre si. Divida pelas repetições.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Trocar 7 com 7 não cria número novo.
[QUESTÃO] Quantos anagramas da palavra <b>ORDEM</b> iniciam com vogais?;<b>48 anagramas</b>. As vogais são O e E. Há 2 escolhas para a primeira posição. Depois restam 4 letras para permutar: 4! = 24. Total: 2 x 24 = 48.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Restrição na primeira casa, depois permute o resto.
Qual conceito a questão de <b>ORDEM iniciando com vogal</b> testa?;Ela testa permutação com restrição de posição. Primeiro fixamos a condição da primeira letra, depois organizamos as demais.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Casa especial primeiro, resto depois.
Como evitar erro na questão de <b>ORDEM iniciando com vogal</b>?;Não faça apenas 5!, pois nem todos os anagramas começam com vogal. Primeiro conte as vogais possíveis na primeira posição e só depois organize o restante.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Condição antes da permutação.
[QUESTÃO] Quantos anagramas da palavra <b>ORDEM</b> têm as vogais juntas?;<b>48 anagramas</b>. Trate as vogais O e E como um bloco. Assim, temos o bloco das vogais e as três consoantes R, D, M, total de 4 itens para ordenar: 4!. Dentro do bloco, as vogais permutam em 2!. Total: 4! x 2! = 48.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Juntas = bloco. Bloco por fora, permutação por dentro.
Qual conceito a questão de <b>vogais juntas</b> testa?;Ela testa a técnica do <b>bloco</b>. Quando elementos devem ficar juntos, agrupamos esses elementos como uma unidade e depois permutamos dentro do bloco.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Junto vira pacote.
Como evitar erro na questão de <b>ORDEM com vogais juntas</b>?;Não conte apenas o bloco como fixo. Além de permutar o bloco com as consoantes, é preciso permutar O e E dentro do bloco.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Todo bloco tem vida interna.
[QUESTÃO] Quantos anagramas da palavra <b>ORDEM</b> têm as vogais não juntas?;<b>72 anagramas</b>. Primeiro conte todos os anagramas: 5! = 120. Depois subtraia os casos com vogais juntas: 48. Total: 120 - 48 = 72.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Não juntas = total menos juntas.
Qual conceito a questão de <b>vogais não juntas</b> testa?;Ela testa o uso do complementar em permutação. É mais fácil contar o total e retirar os casos proibidos, em que as vogais ficam juntas.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Se o “não” complica, conte o contrário e subtraia.
Como evitar erro na questão de <b>ORDEM com vogais não juntas</b>?;Não tente posicionar diretamente as vogais se isso gerar confusão. Calcule todos os anagramas e subtraia os que têm vogais juntas.<br><br><i>Fonte: Análise Combinatória – Exercícios de permutação</i><hr><b>BIZU:</b> Total menos proibido salva tempo.
Qual é a técnica do <b>bloco</b> em permutação?;É tratar elementos que devem ficar juntos como se fossem um único item. Depois contamos a organização dos itens externos e a organização interna do bloco.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Cola primeiro, conta depois.
Quando devo usar a técnica do <b>bloco</b>?;Use quando o enunciado disser que certos elementos devem ficar juntos, lado a lado, consecutivos ou vizinhos.<br><br><i>Fonte: Análise Combinatória – Permutação</i><hr><b>BIZU:</b> Juntos, lado a lado, vizinhos, todos pedem bloco.
