Frente;Verso
O que é uma <b>dízima periódica</b>?;É um número decimal infinito em que um ou mais algarismos se repetem indefinidamente.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Dízima periódica tem repetição infinita. O bloco que repete é o período.
O que é o <b>período</b> de uma dízima periódica?;É o algarismo ou grupo de algarismos que se repete infinitamente.<br><br>Exemplo: em 0,232323..., o período é 23.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Período é o “refrão” do número decimal.
O que é a <b>fração geratriz</b> de uma dízima periódica?;É a fração que gera aquela dízima periódica quando fazemos a divisão.<br><br>Exemplo: 1/3 gera 0,3333...<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Fração geratriz é a origem da dízima.
Qual é a regra rápida para dízima periódica simples com <b>1 algarismo no período</b>?;Coloque o algarismo que repete sobre 9 e simplifique se possível.<br><br>Exemplo: 0,2222... = 2/9.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Um algarismo repetindo pede um 9 no denominador.
Qual é a regra rápida para dízima periódica simples com <b>2 algarismos no período</b>?;Coloque o período sobre 99 e simplifique se possível.<br><br>Exemplo: 0,121212... = 12/99 = 4/33.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Dois algarismos repetindo pedem 99.
Qual é a regra rápida para dízima periódica simples com <b>3 algarismos no período</b>?;Coloque o período sobre 999 e simplifique se possível.<br><br>Exemplo: 0,159159159... = 159/999 = 53/333.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Três algarismos repetindo pedem 999.
Como transformar 0,11111... em fração?;0,11111... = 1/9.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> 0,111... é o modelo-base das dízimas de período 1.
Como transformar 0,22222... em fração?;0,22222... = 2/9.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Período 2 sobre 9.
Como transformar 0,55555... em fração?;0,55555... = 5/9.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Período 5 sobre 9.
Como transformar 0,77777... em fração?;0,77777... = 7/9.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Período de 1 algarismo sempre vai sobre 9.
Como transformar 0,121212... em fração?;0,121212... = 12/99 = 4/33.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Período 12 sobre 99. Depois simplifique por 3.
Como transformar 0,232323... em fração?;0,232323... = 23/99.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Período 23 sobre 99.
Como transformar 0,454545... em fração?;0,454545... = 45/99 = 5/11.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> 45 e 99 dividem por 9. Resultado: 5/11.
Como transformar 0,373737... em fração?;0,373737... = 37/99.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Período com 2 casas pede denominador 99.
Como transformar 0,137137137... em fração?;0,137137137... = 137/999.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Período 137 tem 3 algarismos, então vai sobre 999.
Como transformar 0,159159159... em fração?;0,159159159... = 159/999 = 53/333.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Período 159 sobre 999. Simplifique por 3.
Como transformar 0,564564564... em fração?;0,564564564... = 564/999 = 188/333.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Três algarismos repetindo: 999 embaixo.
O que é uma <b>dízima periódica composta</b>?;É uma dízima que tem uma parte decimal que não se repete antes do período começar.<br><br>Exemplo: 0,077777... tem anteperíodo 0 e período 7.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Composta tem “entrada” antes do refrão.
O que é <b>anteperíodo</b>?;É a parte decimal que aparece antes do período começar.<br><br>Exemplo: em 0,0232323..., o anteperíodo é 0 e o período é 23.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Anteperíodo vem antes da repetição.
Qual é a regra geral para transformar dízima periódica composta em fração?;Use a ideia:<br><br><b>número sem vírgula até o fim do primeiro período − número sem vírgula antes do período</b><br>dividido por um denominador com tantos 9 quantos forem os algarismos do período e tantos 0 quantos forem os algarismos do anteperíodo.<br><br><i>Fonte: Aula Bônus 12 — Transformação de Dízima Periódica em Fração</i><hr><b>BIZU:</b> Embaixo: 9 para o que repete, 0 para o que não repete.
Como transformar 0,077777... em fração?;0,077777... = (07 − 0)/90 = 7/90.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Um algarismo antes do período gera um zero no denominador. Um algarismo no período gera um 9.
Como transformar 0,011111... em fração?;0,011111... = (01 − 0)/90 = 1/90.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> O período é 1, mas há um zero antes dele. Denominador 90.
Como transformar 0,006666... em fração?;0,006666... = (006 − 00)/900 = 6/900 = 1/150.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Dois zeros antes do período pedem dois zeros no denominador.
Como transformar 0,0003333... em fração?;0,0003333... = (0003 − 000)/9000 = 3/9000 = 1/3000.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Três zeros antes do período, um 9 e três zeros embaixo.
Como transformar 0,0121212... em fração?;0,0121212... = (012 − 0)/990 = 12/990 = 2/165.<br><br><i>Fonte: Aula Bônus 12 — Exercício de fixação</i><hr><b>BIZU:</b> Anteperíodo 0, período 12. Denominador 990.
